pan_id,x_coordinate,y_coordinate,area_sqm,affected
0,10,10,1000,False
1,12,11,1500,False
2,20,20,1300,False
3,25,19,2000,False
4,30,35,1800,False
5,40,40,2200,False
6,5,5,1667,False
7,37,45,2014,False
8,14,27,847,False
9,28,11,1389,False
10,34,45,1309,False
11,29,39,1326,False
12,12,37,2259,False
13,50,26,1782,False
14,10,42,508,False
15,24,30,1124,False
16,7,14,644,True
17,24,41,1753,False
18,0,11,1912,False
19,0,50,554,False
20,26,50,1515,False
21,40,17,1987,False
22,3,47,1791,False
23,4,34,2316,False
24,43,41,765,False
25,40,27,1211,False
26,31,22,2514,False
27,49,9,1003,False
28,45,36,2174,False
29,45,12,2509,False
30,28,37,1388,False
31,15,5,1518,True
32,36,16,2735,False
33,11,30,2375,False
34,47,0,1999,False
35,43,36,2310,False
36,33,43,2106,False
37,30,4,2063,False
38,36,45,2964,False
39,36,11,2650,False
40,6,17,2476,True
41,15,4,2996,True
42,47,32,2761,False
43,26,12,767,True
44,44,49,1681,False
45,0,5,1426,False
46,8,49,1164,False
47,16,0,1456,False
48,6,16,685,True
49,47,15,2164,False
50,13,26,2290,True
51,3,0,2377,False
52,35,7,2464,False
53,43,6,678,False
54,32,41,821,False
55,29,32,2560,False
56,11,36,2007,False
57,39,20,1488,False
58,13,13,649,True
59,45,24,2624,False
60,37,9,2190,False
61,17,37,862,False
62,3,27,1876,False
63,22,48,1210,False
64,17,50,2395,False
65,6,22,545,True
66,45,23,2789,False
67,6,13,786,True
68,1,29,2373,False
69,45,31,2496,False
70,39,6,895,False
71,40,46,1948,False
72,4,47,856,False
73,41,34,831,False
74,32,12,1289,False
75
