sensor_reading_index,pressure_reading,time_minute
0,1010.4,0
1,1009.84,1
2,1010.42,2
3,1011.07,3
4,1009.61,4
5,1009.56,5
6,1010.96,6
7,1010.26,7
8,1009.22,8
9,1009.98,9
10,1009.13,10
11,1009.08,11
12,1009.59,12
13,1007.82,13
14,1007.92,14
15,1008.8,15
16,1008.39,16
17,1009.4,17
18,1008.37,18
19,1007.92,19
20,1010.17,20
21,1008.77,21
22,1008.95,22
23,1007.71,23
24,1008.36,24
25,1008.84,25
26,1007.78,26
27,1008.95,27
28,1008.12,28
29,1008.32,29
30,1008.02,30
31,1009.93,31
32,1008.39,32
33,1007.5,33
34,1008.96,34
35,1007.27,35
36,1008.37,36
37,1006.58,37
38,1007.04,38
39,1008.21,39
40,1008.59,40
41,1008.09,41
42,1007.81,42
43,1007.61,43
44,1006.62,44
45,1007.17,45
46,1007.33,46
47,1008.5,47
48,1007.87,48
49,1006.14,49
50,1007.76,50
51,1007.14,51
52,1006.86,52
53,1007.84,53
54,1008.12,54
55,1008.0,55
56,1006.53,56
57,1006.9,57
58,1007.37,58
59,1007.83,59
60,1006.62,60
61,1006.8,61
62,1006.01,62
63,1005.89,63
64,1007.45,64
65,1007.83,65
66,1006.64,66
67,1007.45,67
68,1006.89,68
69,1006.03,69
70,1006.79,70
71,1007.68,71
72,1006.37,72
73,1007.6,73
74,1004.2,74
75,1006.91,75
76,1006.27,76
77,1005.91,77
78,1006.17,78
79,1004.46,79
80,1005.82,80
81,1006.24,81
82,1007.08,82
83,1005.44,83
84,1005.15,84
85,1005.35,85
86,1006.43,86
87,1005.91,87
88,1005.18,88
89,1005.96,89
90,1005.58,90
91,1006.22,91
92,1004.84,92
93,1005.09,93
94,1004.99,94
95,1004.08,95
96,1005.44,96
97,1005.36,97
98,1005.1,98
99,1004.86,99
100,1003.87,100
101,1004.61,101
102,1004.63,102
103,1004.21,103
104,1004.67,104
105,1005.07,105
106,1006.21,106
107,1004.79,107
108,1004.81,108
109,1004.49,109
110,1002.96,110
111,1004.43,111
112,1004.45,112
113,1006.32,113
114,1004.15,114
115,1004.49,115
116,1004.17,116
117,1003.22,117
118,1005.01,118
119,1004.65,119
120,1004.63,120
121,1003.22,121
122,1005.02,122
123,1002.73,123
124,1004.27,124
125,1005.5,125
126,1002.91,126
127,1003.2,127
128,1003.68,128
129,1003.15,129
130,1002.26,130
131,1003.5,131
132,1002.55,132
133,1003.73,133
134,1002.56,134
135,1004.49,135
136,1002.57,136
137,1002.89,137
138,1003.75,138
139,1002.07,139
140,1003.18,140
141,1004.0,141
142,1001.61,142
143,1003.0,143
144,1003.01,144
145,1003.38,145
146,1001.71,146
147,1001.59,147
148,1003.02,148
149,1002.79,149
150,1002.7,150
151,1002.73,151
152,1001.86,152
153,1002.54,153
154,1002.53,154
155,1001.68,155
156,1003.69,156
157,1002.53,157
158,1001.15,158
159,1002.58,159
160,1001.22,160
161,1002.58,161
162,1002.83,162
163,1001.19,163
164,1002.57,164
165,1002.08,165
166,1002.36,166
167,1003.17,167
168,1001.4,168
169,1000.95,169
170,1000.79,170
171,1000.8,171
172,1001.34,172
173,1001.62,173
174,1001.52,174
175,1001.91,175
176,1001.21,176
177,1002.31,177
178,1000.89,178
179,1003.23,179
180,1001.5,180
181,1000.26,181
182,1000.04,182
183,1001.24,183
184,1000.62,184
185,1001.32,185
186,1001.08,186
187,1000.59,187
188,999.92,188
189,999.34,189
190,1000.14,190
191,1001.14,191
192,1000.57,192
193,999.35,193
194,1000.44,194
195,1000.56,195
196,999.49,196
197,1000.27,197
198,1000.15,198
199,999.14,199
200,1000.29,200
201,1000.4,201
202,1000.77,202
203,1000.69,203
204,998.7,204
205,999.0,205
206,1000.11,206
207,1000.06,207
208,1000.01,208
209,1002.63,209
210,999.96,210
211,1000.36,211
212,1000.16,212
213,999.87,213
214,999.05,214
215,999.86,215
216,998.58,216
217,998.96,217
218,998.71,218
219,999.12,219
220,1000.85,220
221,997.46,221
222,999.45,222
223,997.56,223
224,998.42,224
225,999.62,225
226,998.75,226
227,997.79,227
228,998.03,228
229,999.09,229
