from_node,to_node,travel_cost_min
0,1,4.0
1,2,3.0
2,3,5.0
1,4,2.5
4,5,4.5
3,6,6.0
5,6,2.0
48,32,1.1
28,31,7.1
43,32,14.6
51,7,1.1
60,30,4.4
4,68,12.4
55,39,7.1
14,45,1.2
13,51,1.1
18,96,12.1
67,21,10.3
74,9,4.6
4,92,14.9
77,19,14.7
68,1,4.1
30,70,7.5
83,13,11.0
36,78,2.7
19,28,4.2
44,55,6.0
35,65,11.9
25,54,6.4
48,9,1.2
81,63,5.4
18,15,11.6
56,32,13.7
31,30,9.7
72,76,3.5
76,18,11.1
62,68,8.3
99,62,2.2
11,31,1.9
55,10,2.1
78,71,1.7
0,16,10.0
66,42,8.9
54,24,10.0
21,59,13.5
15,83,12.3
32,71,10.1
12,80,1.3
7,32,14.8
42,48,13.0
23,50,10.5
27,77,11.6
25,31,14.3
25,41,9.0
94,98,2.3
3,99,8.3
64,92,4.2
70,36,6.9
57,60,7.8
17,99,4.0
94,97,11.3
52,97,9.0
6,18,3.2
32,23,4.8
68,31,8.5
12,43,2.3
5,22,14.4
98,55,10.8
73,64,1.0
31,25,8.8
96,42,7.4
83,54,3.8
11,22,1.5
74,23,1.8
9,3,2.0
67,44,13.4
67,88,13.2
69,39,12.8
41,99,1.2
87,54,9.1
83,57,10.6
62,59,10.0
55,91,6.9
23,64,6.4
86,90,14.7
47,79,3.7
11,95,12.8
21,58,13.2
96,34,8.9
95,10,3.3
46,28,3.1
57,17,1.4
9,8,9.7
15,95,5.8
19,57,8.3
35,86,13.7
42,77,3.3
7,65,7.8
82,65,10.6
15,83,3.2
58,29,4.9
69,29,11.7
33,56,2.0
32,8,10.5
46,31,11.6
88,87,2.9
31,75,13.0
42,76,11.4
39,57,10.2
40,31,8.7
55,93,11.1
47,98,8.0
86,25,14.6
70,30,9.2
6,56,11.8
12,78,3.4
4,44,7.6
60,84,6.6
55,16,13.9
49,64,11.0
87,42,8.4
46,15,2.4
73,74,4.8
55,47,14.1
92,28,11.8
46,19,2.5
67,77,12.4
91,14,3.9
82,40,10.7
44,52,6.9
84,7,6.6
30,21,5.3
22,62,5.4
15,47,2.8
69,88,9.1
83,99,14.3
76,79,13.1
38,62,12.3
46,96,5.1
22,34,7.8
52,2,4.0
66,82,9.7
29,100,1.4
93,48,3.3
73,75,4.9
28,54,12.7
3,58,4.1
39,54,10.7
22,44,13.5
53,36,13.5
2,57,12.8
13,36,14.8
70,67,10.8
66,52,1.9
84,20,1.0
15,90,2.4
13,89,6.1
84,62,6.0
5,36,10.9
2,71,14.8
53,63,1.6
70,68,14.9
15,76,10.6
30,14,2.9
31,91,9.2
56,45,6.1
6,44,7.6
16,33,4.7
33,68,1.0
54,71,13.8
92,45,8.6
10,58,7.5
31,5,15.0
75,8,9.7
40,100,10.9
32,22,14.7
96,15,2.2
55,99,1.2
8,21,4.1
1,55,7.5
23,46,6.6
91,65,7.5
24,92,13.4
73,74,4.9
10,31,13.5
82,54,13.8
79,32,7.1
54,59,3.9
73,88,9.3
12,44,2.6
95,80,1.7
37,79,10.4
78,23,9.6
90,72,10.4
83,58,9.4
69,24,7.8
60,20,10.2
57,48,3.6
75,68,10.4
