heap_id,graph_node,production_time_min,safe_duration_min,current_time,time_left_min
0,0,60,120,180,0
1,1,100,90,180,10
2,2,110,80,180,10
3,4,130,60,180,10
4,6,140,50,180,10
5,143,129,111,180,60
6,20,103,122,180,45
7,96,158,47,180,25
8,33,110,46,180,-24
9,76,83,137,180,40
10,35,113,110,180,43
11,85,102,96,180,18
12,124,80,17,180,-83
13,108,95,121,180,36
14,52,104,55,180,-21
15,36,108,113,180,41
16,87,114,58,180,-8
17,76,111,76,180,7
18,68,158,110,180,88
19,108,169,33,180,22
20,39,187,106,180,113
21,79,101,92,180,13
22,27,111,21,180,-48
23,103,102,102,180,24
24,116,172,84,180,76
25,47,91,30,180,-59
26,122,81,136,180,37
27,29,143,134,180,97
28,115,80,14,180,-86
29,128,147,57,180,24
30,126,163,135,180,118
31,54,188,11,180,19
32,106,78,60,180,-42
33,18,192,48,180,60
34,76,179,94,180,93
35,126,143,7,180,-30
36,125,177,140,180,137
37,118,169,58,180,47
38,111,182,78,180,80
39,136,71,123,180,14
40,41,74,93,180,-13
41,62,103,75,180,-2
42,19,146,58,180,24
43,140,196,133,180,149
44,75,132,108,180,60
45,37,161,71,180,52
46,44,76,77,180,-27
47,14,198,94,180,112
48,19,178,53,180,51
49,44,97,60,180,-23
50,79,108,108,180,36
51,69,142,13,180,-25
52,148,97,99,180,16
53,147,86,26,180,-68
54,53,61,105,180,-14
55,141,112,64,180,-4
56,32,105,104,180,29
57,117,110,47,180,-23
58,77,125,29,180,-26
59,99,173,28,180,21
60,31,183,25,180,28
61,137,101,115,180,36
62,39,129,97,180,46
63,90,130,140,180,90
64,32,114,51,180,-15
65,32,69,83,180,-28
66,34,133,6,180,-41
67,18,148,14,180,-18
68,34,184,144,180,148
69,116,156,60,180,36
70,58,93,18,180,-69
71,36,151,93,180,64
72,16,139,33,180,-8
73,59,76,133,180,29
74,134,114,106,180,40
75,144,98,36,180,-46
76,126,121,49,180,-10
77,115,191,23,180,34
78,66,102,97,180,19
79,28,187,119,180,126
80,88,83,52,180,-45
81,109,106,93,180,19
82,18,98,121,180,39
83,33,114,86,180,20
84,52,197,52,180,69
85,8,187,42,180,49
86,56,141,73,180,34
87,119,117,137,180,74
88,92,193,117,180,130
89,12,73,43,180,-64
90,38,105,115,180,40
91,57,159,81,180,60
92,149,163,30,180,13
93,73,62,84,180,-34
94,9,131,116,180,67
95,8,173,38,180,31
96,106,186,149,180,155
97,33,139,24,180,-17
98,25,164,95,180,79
99,83,135,129,180,84
100,12,170,137,180,127
101,47,74,23,180,-83
102,109,113,133,180,66
103,89,177,26,180,23
104,81,68,62,180,-50
105,145,92,47,180,-41
106,24,139,113,180,72
107,7,144,67,180,31
108,22,197,117,180,134
109,138,166,100,180,86
110,97,61,86,180,-33
111,145,196,104,180,120
112,126,155,76,180,51
113,86,197,66,180,83
114,62,82,131,180,33
115,32,139,47,180,6
116,139,120,59,180,-1
117,35,160,123,180,103
118,20,139,96,180,55
119,65,160,13,180,-7
120,47,132,8,180,-40
121,76,151,134,180,105
122,91,123,102,180,45
123,99,129,17,180,-34
124,94,89,45,180,-46
125,98,155,25,180,0
126,136,139,109,180,68
127,148,132,85,180,37
