from_node,to_node,travel_time_min
0,1,5.0
1,2,8.0
1,3,3.0
2,4,6.0
3,4,4.0
3,5,7.0
4,6,5.0
5,6,2.0
84,22,6.9
132,49,7.4
32,66,9.9
114,88,1.2
51,140,15.5
92,127,2.7
126,78,13.3
109,62,9.7
10,85,19.0
122,98,15.6
61,28,13.2
81,62,14.8
135,113,18.1
58,123,3.1
68,83,18.6
136,61,3.7
144,56,10.8
0,37,11.9
124,36,19.2
106,23,15.0
97,67,2.5
136,64,11.5
97,84,10.0
134,66,13.7
48,109,9.0
3,104,2.3
22,124,19.6
106,49,5.0
17,64,12.9
53,135,10.2
15,105,10.4
18,121,3.2
23,107,20.0
76,98,4.4
122,12,6.6
74,2,1.4
80,34,16.6
21,96,10.9
40,100,18.9
69,61,6.5
54,110,7.9
77,29,19.6
147,107,7.5
23,143,10.0
132,107,3.5
91,118,11.5
130,38,18.4
135,83,1.5
9,60,6.7
134,33,19.3
148,5,5.1
17,99,13.6
15,149,14.2
17,39,3.8
51,10,18.2
142,87,1.1
1,36,13.8
99,34,11.8
21,45,1.4
95,123,14.0
61,4,19.6
83,21,12.5
148,131,5.9
41,74,18.7
94,10,1.8
26,52,6.0
14,20,6.1
66,114,11.2
95,6,11.3
49,54,18.3
50,139,6.2
23,28,4.9
86,67,12.2
99,60,6.4
96,67,7.0
54,70,4.0
35,22,4.4
131,148,11.0
4,141,3.8
123,119,6.5
58,15,1.4
132,85,3.7
16,37,5.3
149,141,13.1
54,105,14.6
56,61,15.8
8,68,7.3
141,61,14.3
58,0,5.5
79,139,19.7
137,35,5.4
80,54,17.0
80,130,13.9
122,23,2.9
140,51,15.9
83,148,11.5
142,108,8.2
24,104,6.2
32,110,18.1
13,89,3.0
74,119,11.1
124,87,18.0
81,28,15.2
117,140,16.4
79,14,15.1
44,1,16.8
136,100,9.0
0,132,9.9
64,147,8.5
58,117,5.8
147,148,14.7
82,80,18.7
10,89,8.1
122,95,12.1
102,145,19.7
119,112,14.4
29,16,18.1
23,91,5.8
24,11,5.7
48,19,1.1
121,76,13.2
108,48,13.3
141,105,14.2
117,17,11.8
80,41,5.8
54,108,13.7
17,71,19.0
150,116,9.4
144,143,15.4
129,136,7.1
16,110,4.2
134,127,11.3
62,5,1.9
88,56,9.0
135,150,16.9
46,29,4.2
35,109,2.6
21,136,6.1
115,102,16.1
110,97,6.7
100,58,17.5
40,48,12.4
21,149,12.8
118,23,2.5
2,87,5.3
27,46,1.4
84,57,7.4
15,44,4.7
51,149,3.8
122,119,11.3
70,137,9.1
82,129,10.3
70,90,10.8
115,45,10.1
95,115,12.1
30,12,7.6
10,121,7.0
110,61,12.7
84,150,19.7
31,32,8.2
121,61,13.8
30,48,11.3
81,53,8.3
31,25,11.5
109,80,11.6
16,127,16.5
78,115,3.6
39,123,17.7
139,1,14.7
133,38,10.8
104,117,7.8
60,71,6.4
91,83,10.8
129,20,1.6
141,120,11.9
55,92,11.5
86,73,6.0
97,24,1.3
101,142,7.7
61,48,17.2
106,116,8.6
145,120,19.4
28,56,1.6
100,150,1.9
25,62,15.2
67,45,17.9
71,131,17.8
66,3,16.9
112,139,17.0
52,142,18.8
122,101,11.0
137,32,11.8
87,42,5.1
37,90,5.2
149,150,17.9
24,136,1.5
125,87,12.8
22,123,5.8
130,67,10.4
103,11,17.0
143,46,5.5
127,81,12.7
115,111,11.7
90,57,6.8
111,23,4.6
11,49,2.4
120,40,11.2
67,141,13.0
38,88,13.2
130,138,5.7
103,67,19.3
139,106,3.1
13,31,11.0
124,24,15.4
114,52,12.2
16,116,14.8
74,95,6.6
141,66,19.4
118,116,13.0
98,54,14.0
111,51,2.5
128,44,5.8
72,112,18.9
44,124,10.8
70,16,4.1
75,9,1.4
105,7,4.3
106,84,2.3
86,19,19.9
44,136,5.8
58,148,16.5
11,98,14.1
113,119,16.7
122,57,19.0
122,15,14.8
48,144,19.0
123,94,11.5
109,90,16.3
9,101,2.3
76,104,4.9
58,52,4.0
112,5,14.4
51,22,5.7
33,65,3.9
138,130,15.4
67,107,2.7
114,2,2.7
118,51,9.9
2,34,10.5
43,143,8.3
43,50,4.2
129,1,11.7
23,16,3.9
77,79,14.3
82,142,11.5
105,31,13.5
30,15,1.1
21,114,8.3
78,10,9.9
95,62,5.2
78,76,19.4
58,23,7.4
5,3,12.9
26,127,12.9
104,60,19.5
40,139,15.4
126,146,8.4
40,33,15.0
134,78,5.6
35,108,12.7
39,78,12.5
83,25,19.7
130,64,8.8
128,31,17.2
147,17,2.7
21,119,8.0
8,124,17.5
139,11,3.2
40,98,17.5
9,139,3.0
26,9,1.7
136,24,2.3
145,30,9.4
