worker_id,name,service_type,node_location,price_rupees
0,Ramesh,plumber,2,300.0
1,Suresh,electrician,4,250.0
2,Anita,plumber,5,280.0
3,Vijay,carpenter,6,260.0
4,Kiran,electrician,3,250.0
5,Neha,plumber,10,408.68
6,Harish,electrician,72,309.79
7,Neha,painter,50,399.57
8,Komal,electrician,60,261.0
9,Kiran,hvac_technician,27,474.77
10,Deepa,carpenter,11,292.33
11,Priya,carpenter,96,473.91
12,Sakshi,carpenter,63,411.65
13,Anita,plumber,24,434.92
14,Dinesh,carpenter,74,448.0
15,Ganesh,electrician,16,380.43
16,Manoj,electrician,8,374.81
17,Rahul,painter,30,517.69
18,Ganesh,hvac_technician,14,491.05
19,Amit,painter,21,508.69
20,Vijay,painter,60,527.48
21,Ajay,hvac_technician,57,584.1
22,Sunita,painter,25,445.35
23,Deepa,plumber,26,443.7
24,Rajesh,hvac_technician,77,444.83
25,Pooja,plumber,86,328.64
26,Vikas,hvac_technician,52,357.57
27,Sunita,cleaner,13,335.39
28,Rahul,plumber,57,300.65
29,Kiran,electrician,1,295.46
30,Vikas,electrician,79,357.02
31,Harish,carpenter,4,488.41
32,Rahul,cleaner,30,225.86
33,Sunita,cleaner,100,210.38
34,Meena,cleaner,27,348.72
35,Laxmi,cleaner,80,349.81
36,Meena,plumber,47,427.46
37,Seema,painter,33,470.8
38,Meena,electrician,12,296.34
39,Priya,electrician,63,260.82
40,Manoj,painter,39,346.75
41,Kiran,hvac_technician,23,429.76
42,Priya,cleaner,92,329.31
43,Amit,plumber,5,433.56
44,Anita,hvac_technician,57,556.01
45,Vijay,carpenter,86,393.06
46,Harish,electrician,78,396.49
47,Laxmi,electrician,43,309.93
48,Meena,electrician,67,279.34
49,Sakshi,carpenter,17,473.46
50,Seema,carpenter,95,473.05
51,Pooja,carpenter,26,492.64
52,Kiran,cleaner,99,334.11
53,Vijay,plumber,71,332.78
54,Vikas,painter,82,356.16
55,Manoj,hvac_technician,91,354.21
56,Komal,electrician,89,292.94
57,Amit,painter,43,344.16
58,Pooja,hvac_technician,24,449.61
59,Ganesh,plumber,15,380.73
60,Anita,carpenter,76,396.15
61,Suresh,plumber,16,422.11
62,Rajesh,cleaner,14,206.92
63,Neha,carpenter,99,367.14
64,Laxmi,hvac_technician,23,508.97
65,Vijay,cleaner,94,246.34
66,Neha,plumber,3,359.72
67,Laxmi,plumber,33,433.64
68,Manoj,plumber,39,447.96
69,Priya,hvac_technician,67,582.45
70,Deepa,electrician,36,391.38
71,Ganesh,carpenter,2,468.28
72,Rahul,plumber,72,340.77
73,Komal,electrician,25,311.93
74,Ajay,electrician,56,364.54
75,Laxmi,carpenter,95,328.72
76,Harish,cleaner,48,344.21
77,Sakshi,painter,48,337.22
78,Anita,plumber,37,409.03
79,Ramesh,painter,60,386.65
80,Deepa,plumber,16,343.09
81,Vijay,carpenter,22,269.27
82,Suresh,electrician,79,260.45
83,Kiran,electrician,59,327.36
84,Suresh,cleaner,51,280.81
85,Kiran,electrician,75,355.98
86,Priya,plumber,54,436.76
87,Sakshi,cleaner,24,332.51
88,Anita,carpenter,64,296.29
89,Amit,plumber,13,402.98
90,Meena,carpenter,10,372.14
91,Amit,plumber,81,376.37
92,Ramesh,carpenter,15,315.51
93,Suresh,plumber,96,438.78
94,Ramesh,hvac_technician,15,377.47
95,Anita,carpenter,18,442.04
96,Ajay,plumber,92,426.14
97,Anita,cleaner,48,321.21
98,Manoj,hvac_technician,95,534.1
99,Rahul,electrician,59,399.25
100,Suresh,electrician,35,302.77
101,Amit,carpenter,61,352.76
102,Harish,carpenter,43,285.9
103,Ramesh,cleaner,64,337.87
104,Priya,cleaner,50,266.67
105,Ajay,carpenter,35,475.87
106,Priya,hvac_technician,56,437.5
107,Neha,hvac_technician,87,428.12
108,Laxmi,hvac_technician,69,488.33
109,Ganesh,hvac_technician,96,375.04
110,Priya,hvac_technician,95,390.93
111,Ajay,carpenter,34,415.55
112,Pooja,painter,41,376.36
113,Ganesh,painter,64,523.39
114,Anita,carpenter,92,423.25
115,Pooja,electrician,100,253.51
116,Ramesh,electrician,11,347.85
117,Manoj,electrician,59,388.46
118,Ajay,painter,51,467.76
119,Rajesh,cleaner,49,220.33
120,Sunita,plumber,2,399.95
121,Priya,hvac_technician,63,579.93
122,Vijay,hvac_technician,36,526.44
123,Amit,carpenter,5,368.26
124,Vijay,painter,57,313.26
125,Sunita,plumber,2,358.68
126,Manoj,painter,96,434.7
127,Neha,hvac_technician,25,577.51
128,Deepa,plumber,30,444.16
129,Seema,painter,50,432.4
130,Amit,electrician,65,388.73
131,Sakshi,cleaner,56,313.76
132,Ramesh,cleaner,43,293.22
133,Kiran,carpenter,84,313.35
134,Ramesh,hvac_technician,16,472.37
135,Rajesh,hvac_technician,98,552.9
136,Dinesh,hvac_technician,31,472.62
137,Komal,cleaner,6,214.23
138,Dinesh,electrician,12,380.11
139,Dinesh,carpenter,93,378.52
140,Neha,painter,77,481.17
141,Meena,carpenter,32,402.75
142,Ajay,painter,6,417.82
143,Sakshi,cleaner,92,298.04
144,Meena,cleaner,6,293.09
145,Vijay,electrician,15,340.69
146,Priya,hvac_technician,47,498.02
147,Sakshi,painter,65,373.63
148,Kiran,electrician,27,302.05
149,Ganesh,painter,15,498.34
150,Sunita,electrician,11,399.22
151,Dinesh,plumber,77,347.31
152,Suresh,plumber,3,324.72
153,Laxmi,hvac_technician,32,582.65
154,Ajay,plumber,73,331.87
155,Manoj,painter,35,379.01
156,Ramesh,plumber,64,427.26
157,Anita,cleaner,31,315.63
158,Anita,painter,7,498.6
159,Ganesh,plumber,53,444.59
160,Dinesh,hvac_technician,85,370.55
161,Manoj,painter,29,378.25
162,Vijay,electrician,81,285.88
163,Sakshi,cleaner,7,214.31
164,Neha,painter,46,444.3
165,Suresh,carpenter,8,486.26
166,Ajay,cleaner,62,281.78
167,Anita,carpenter,65,377.32
168,Suresh,painter,70,404.06
169,Deepa,electrician,34,388.51
