from_node,to_node,distance_units
0,1,3.0
1,2,4.0
2,3,2.5
1,4,5.0
4,5,3.5
5,6,2.0
6,7,4.0
3,7,3.0
117,43,9.0
12,4,14.4
106,48,6.1
71,93,0.7
16,81,8.2
77,24,5.3
25,105,9.1
4,115,8.6
117,112,11.4
41,39,14.3
120,61,3.9
97,50,5.8
4,65,1.4
53,72,12.4
77,68,8.9
69,40,6.6
94,109,8.4
92,78,9.1
113,31,6.9
107,95,8.7
115,20,5.9
29,17,6.9
10,109,14.9
37,32,5.0
83,66,14.6
95,99,4.6
99,12,8.2
35,34,14.8
87,109,10.7
39,67,7.7
18,57,9.7
43,28,0.6
109,42,0.9
113,96,9.0
66,26,13.4
56,117,12.0
16,51,6.6
43,116,13.6
100,37,5.1
66,67,3.3
26,108,4.4
15,77,7.2
40,63,5.1
44,68,5.0
20,40,2.1
36,39,3.7
42,34,1.0
99,87,13.2
14,49,6.1
32,11,3.9
9,5,10.2
29,9,14.1
117,115,7.8
79,39,7.4
7,31,4.7
118,5,4.4
91,110,3.7
53,97,7.0
76,8,2.1
116,61,9.7
8,59,6.0
75,70,1.8
34,15,6.0
3,2,9.4
11,77,0.8
100,113,2.3
43,3,3.7
48,0,2.9
5,95,11.0
80,13,11.7
55,25,12.0
42,3,14.2
111,76,8.1
45,13,8.5
120,67,10.3
51,2,8.7
41,43,14.1
46,66,10.4
14,64,4.8
76,66,8.2
4,109,3.4
88,113,13.6
73,95,14.3
12,10,11.0
70,21,6.4
74,60,12.1
80,31,12.2
27,53,11.5
59,32,0.7
116,71,1.6
95,71,9.5
77,74,12.5
106,4,11.0
79,32,9.5
61,59,0.5
12,35,7.0
15,50,6.8
120,117,13.9
81,87,6.1
89,115,1.8
46,93,14.9
106,15,4.3
78,20,2.3
38,68,13.8
93,32,9.2
89,117,11.8
46,48,14.1
26,86,2.9
89,37,3.0
105,24,5.4
23,109,7.8
74,71,2.8
89,27,14.8
105,97,4.0
27,86,3.3
88,98,12.9
83,31,9.5
64,120,8.1
111,82,9.8
119,17,10.5
62,99,4.8
68,105,8.3
13,120,14.6
46,70,14.4
42,1,13.2
18,5,13.8
83,110,6.8
104,66,11.3
117,94,8.5
98,112,10.8
76,42,6.6
114,0,14.1
23,65,5.1
37,93,11.9
58,105,7.6
114,107,1.0
80,83,3.2
43,59,12.8
28,10,9.7
101,118,10.1
79,77,6.5
58,10,9.0
69,32,9.2
70,0,3.1
64,39,8.9
19,89,3.8
29,85,4.7
16,29,2.0
3,51,7.8
36,82,13.4
68,5,11.6
64,108,7.6
0,27,14.7
21,109,1.1
6,81,9.9
109,80,10.6
78,93,6.4
72,71,13.4
30,86,10.9
18,94,3.6
89,68,9.2
104,5,5.5
112,29,4.9
36,91,7.8
116,14,6.8
77,27,7.0
20,3,5.6
39,118,13.2
108,64,11.4
23,78,10.9
2,56,4.3
105,39,10.2
93,19,1.4
105,42,9.2
64,20,14.8
25,90,14.0
108,33,9.2
49,60,14.9
27,44,12.6
19,4,9.1
120,2,13.1
84,114,10.3
28,7,11.0
32,118,1.1
110,95,13.3
116,90,2.5
106,118,14.6
76,65,8.0
2,12,11.4
13,85,14.8
51,12,13.9
22,83,1.4
106,38,4.3
102,29,9.8
117,85,10.6
37,72,14.0
97,43,7.6
70,19,11.5
119,55,11.6
34,11,8.9
110,63,6.3
13,69,0.6
7,91,11.2
9,54,10.2
27,78,12.3
13,52,12.6
80,5,6.2
91,96,2.4
46,35,11.2
11,14,1.7
47,52,14.5
92,56,7.0
95,40,7.1
47,103,6.7
