from_node,to_node,distance_units
0,1,2.5
0,2,4.2
1,2,2.5
1,4,2.8
2,3,3.5
2,4,1.8
3,4,4.2
0,62,6.3
132,79,6.5
48,138,4.6
80,70,2.5
117,29,2.0
113,74,8.2
120,48,5.3
101,112,9.1
121,115,4.7
83,10,2.4
33,95,1.4
37,76,1.8
123,143,8.6
49,125,2.8
115,85,2.1
75,5,7.2
50,127,9.3
117,115,3.1
103,33,1.7
83,124,2.8
16,8,0.7
3,112,8.1
127,6,9.1
118,114,1.0
31,49,6.7
50,128,9.8
8,132,1.8
17,129,8.0
11,39,1.1
127,13,7.1
68,140,3.5
150,74,8.2
5,55,2.7
50,44,7.5
104,146,1.1
8,94,10.0
83,85,1.5
64,55,1.4
55,40,8.9
106,108,7.1
97,133,5.1
66,26,1.2
128,52,2.8
120,132,1.4
137,5,6.7
65,84,3.3
97,86,7.0
20,91,7.9
24,131,9.9
11,14,1.1
31,11,8.6
31,131,2.9
88,71,2.7
91,101,5.8
50,101,4.4
68,7,1.9
119,105,7.1
114,137,8.0
13,146,9.5
99,136,10.0
36,145,6.5
7,48,9.6
127,87,2.5
124,105,5.5
139,96,0.9
58,88,2.2
86,135,1.7
150,141,0.6
106,33,6.2
132,8,5.3
87,17,8.8
73,109,5.5
107,6,7.1
82,46,8.5
56,107,6.6
40,8,7.0
145,51,8.4
12,145,1.8
107,53,6.4
118,23,5.6
106,130,3.5
0,109,6.6
82,135,9.9
52,142,8.8
121,30,7.8
40,96,3.9
67,100,5.3
4,22,9.2
100,135,9.2
21,88,7.2
21,37,7.5
27,56,4.3
71,52,5.8
79,9,8.0
82,49,5.9
53,141,4.1
75,131,5.2
47,106,6.2
8,141,6.4
114,97,7.8
35,52,3.9
120,147,6.5
78,10,8.1
46,61,3.4
34,15,4.8
121,144,3.4
111,73,4.2
108,137,4.5
108,90,6.6
75,85,2.1
98,22,8.4
74,53,6.6
127,115,6.2
8,7,0.7
101,150,4.7
9,102,5.2
75,141,2.1
0,52,1.3
34,61,8.4
118,35,6.6
135,108,3.7
98,69,1.5
39,19,5.8
74,141,6.7
64,32,5.5
59,35,9.5
122,36,4.6
78,103,7.9
41,15,7.4
54,31,6.7
123,85,7.0
42,125,2.3
140,1,4.3
76,74,9.3
113,112,4.2
91,53,2.8
77,149,8.5
17,43,8.4
51,91,8.6
46,109,2.6
64,23,6.8
149,34,8.2
107,1,9.6
148,12,7.9
111,64,8.3
147,78,1.7
64,7,5.8
101,38,4.5
57,11,8.7
106,84,6.0
58,2,3.1
91,104,5.3
132,130,8.7
61,15,5.7
2,137,4.1
84,9,3.7
102,83,9.4
77,15,0.6
129,82,8.7
17,60,5.8
4,93,8.9
67,52,5.3
47,111,4.6
99,79,7.9
0,9,5.1
73,57,1.1
66,142,2.9
27,99,9.5
48,136,9.5
32,113,5.3
130,99,0.7
25,90,4.2
7,80,7.4
148,50,5.3
126,74,2.9
46,52,8.5
17,149,2.1
4,82,4.0
7,115,3.3
19,58,3.7
143,147,5.8
102,150,3.5
12,6,0.9
130,20,6.7
128,135,5.8
93,29,6.4
123,97,5.8
47,88,0.5
137,44,4.6
150,11,2.6
96,58,9.6
140,133,4.5
124,144,1.8
113,70,0.7
6,135,5.8
140,149,5.0
102,79,5.0
5,124,3.7
99,100,8.6
130,126,2.6
15,42,5.5
70,146,5.1
129,132,8.9
144,130,8.5
54,68,3.8
127,31,9.0
67,8,6.8
83,77,10.0
82,43,4.4
11,124,5.9
55,8,9.1
71,56,6.1
65,77,6.7
137,140,5.0
113,98,2.9
86,122,7.2
119,7,9.4
108,93,7.5
8,50,6.5
30,42,8.0
139,76,9.8
39,52,1.9
68,49,1.1
55,117,2.4
135,86,7.2
17,31,6.7
72,120,6.8
117,47,0.6
66,90,0.9
89,150,6.7
71,20,5.2
103,40,9.0
95,109,9.3
124,77,2.2
1,147,5.0
67,72,3.4
0,70,1.4
17,148,3.4
129,6,0.6
23,39,8.0
42,66,8.9
55,126,3.0
11,126,0.7
58,37,4.0
147,53,2.4
45,93,2.0
123,48,6.4
41,18,9.1
121,91,8.3
67,92,2.7
36,77,5.4
107,126,6.6
106,119,8.2
91,4,9.2
12,2,6.1
133,119,7.4
4,70,8.5
93,147,6.0
136,9,3.6
77,127,9.2
64,5,4.9
114,58,7.2
58,147,9.8
98,49,9.3
36,84,5.3
39,95,1.8
42,16,4.8
141,61,8.0
74,119,7.4
27,17,6.5
76,73,9.1
42,23,10.0
132,59,2.4
39,6,1.6
0,50,4.9
13,58,1.1
34,52,1.8
0,80,3.2
11,8,6.4
78,36,4.7
24,137,3.2
3,147,9.9
132,26,9.2
123,68,5.2
142,38,3.4
55,120,9.9
102,110,5.7
22,144,5.5
15,94,9.6
68,59,1.5
17,49,2.4
146,69,6.4
9,11,5.5
68,25,7.5
10,44,6.4
141,30,9.2
3,120,3.7
63,79,10.0
30,123,2.2
88,30,4.0
7,142,8.0
48,106,2.5
121,80,4.9
106,8,6.5
93,65,1.6
130,116,10.0
33,120,6.2
35,17,7.8
66,93,1.2
59,10,1.6
97,78,6.5
107,127,2.4
111,136,9.5
8,69,7.1
49,104,9.6
39,73,0.9
75,86,1.6
131,77,2.6
63,90,9.6
20,14,3.1
55,72,7.6
120,98,4.1
111,13,5.8
134,121,3.0
104,2,4.2
100,76,6.4
4,112,5.3
128,81,1.7
81,24,7.5
86,115,4.3
95,69,9.7
136,51,4.0
101,145,7.0
30,22,8.3
31,104,9.1
67,69,7.7
100,95,2.4
49,21,4.7
87,26,9.3
129,96,8.9
62,30,8.9
93,108,6.6
132,72,0.7
