entry_node,entry_name,x_coord,y_coord
0,Main_Entrance,0.0,0.0
5,Basement_Entry,2.0,2.0
10,Hostel_Block_A_Access_10,25.3,43.3
12,Student_Center_Door_12,34.2,5.0
14,Library_Entry_14,43.8,15.8
16,Research_Park_Gate_16,6.7,10.5
18,Emergency_Exit_Ramp_18,3.7,21.8
20,East_Gate_20,28.7,6.5
22,East_Gate_22,27.2,22.8
24,Library_Entry_24,23.3,32.9
26,Delivery_Dock_26,32.4,27.8
28,North_Gate_28,40.6,46.4
30,Auditorium_Entrance_30,48.2,42.9
32,Faculty_Parking_Entry_32,27.3,46.2
34,Metro_Overpass_Link_34,15.5,2.2
36,Student_Center_Door_36,26.3,10.0
38,Auditorium_Entrance_38,32.8,40.6
40,Medical_Wing_Access_40,6.0,39.4
42,West_Gate_42,15.7,33.6
44,North_Gate_44,19.7,38.0
46,Medical_Wing_Access_46,38.7,31.2
48,Emergency_Exit_Ramp_48,14.2,13.4
50,South_Gate_50,29.3,27.6
52,Medical_Wing_Access_52,28.6,2.7
54,North_Gate_54,22.6,34.9
56,West_Gate_56,9.5,41.2
58,Student_Center_Door_58,42.5,13.5
60,Research_Park_Gate_60,26.6,39.6
62,Faculty_Parking_Entry_62,1.8,25.0
64,Gymnasium_Door_64,28.0,28.3
66,Emergency_Exit_Ramp_66,34.7,28.5
68,Emergency_Exit_Ramp_68,44.9,7.1
70,East_Gate_70,8.1,11.1
72,East_Gate_72,5.8,41.7
74,Auditorium_Entrance_74,29.1,26.4
76,Back_Office_Entry_76,36.0,43.8
78,Emergency_Exit_Ramp_78,41.8,34.8
80,Back_Office_Entry_80,29.4,23.8
82,West_Gate_82,21.0,0.5
84,Faculty_Parking_Entry_84,40.3,27.4
86,East_Gate_86,12.0,16.9
88,Student_Center_Door_88,16.6,50.0
90,Auditorium_Entrance_90,19.6,40.0
92,South_Gate_92,3.9,17.2
94,South_Gate_94,45.5,15.0
96,Auditorium_Entrance_96,28.8,27.1
98,South_Gate_98,33.5,21.6
100,Student_Center_Door_100,21.3,24.0
102,Hostel_Block_A_Access_102,25.6,25.5
