slot_node,x_coord,y_coord,capacity
2,5.0,10.0,1
4,2.5,5.0,1
6,8.0,3.0,1
8,1.2,8.5,1
9,5.4,6.0,5
10,48.2,48.3,4
11,36.6,0.0,1
12,26.3,45.5,2
13,19.3,16.6,1
14,40.0,30.2,3
15,38.2,41.0,3
16,21.9,8.5,2
17,29.3,39.1,2
18,34.6,2.8,2
19,31.4,11.6,2
20,17.5,40.4,5
21,3.0,18.1,1
22,30.9,15.4,5
23,32.2,10.6,2
24,16.0,30.4,3
25,14.8,17.8,5
26,12.4,38.2,4
27,24.4,6.6,2
28,37.7,27.6,3
29,48.0,11.2,2
30,0.9,18.2,1
31,41.7,6.5,1
32,33.3,16.3,3
33,21.2,8.7,1
34,11.0,41.5,3
35,27.1,49.2,3
36,28.4,28.9,2
37,27.2,27.4,3
38,46.7,38.7,1
39,43.6,2.5,3
40,35.3,5.9,2
41,18.7,0.9,2
42,32.3,14.1,3
43,26.0,23.1,2
44,25.4,41.7,1
45,37.6,32.4,2
46,7.0,36.4,4
47,35.9,43.2,3
48,32.7,47.6,4
49,33.6,34.5,3
50,48.3,37.0,3
51,40.7,48.2,2
52,28.8,0.7,3
53,9.1,49.6,3
54,14.3,26.5,2
55,5.3,23.2,3
56,12.1,35.0,2
57,30.2,16.1,1
58,48.1,42.9,4
59,48.0,37.1,3
60,49.1,11.1,3
61,40.3,19.9,2
62,36.7,36.7,3
63,38.3,24.2,1
64,35.2,28.3,3
65,26.7,17.7,4
66,19.4,45.0,1
67,36.6,7.4,1
68,29.4,8.4,1
69,24.1,0.6,1
70,7.7,41.8,5
71,43.5,25.5,5
72,8.9,43.0,5
73,43.9,39.0,2
74,41.5,21.5,4
75,34.8,24.5,2
76,10.3,6.8,3
77,39.6,24.0,1
78,46.4,42.6,4
79,8.6,32.8,5
80,36.8,21.0,4
81,29.0,36.3,5
82,21.8,24.0,2
83,24.8,3.3,2
84,46.3,39.8,3
85,38.2,46.6,1
86,25.1,22.7,4
87,31.1,0.1,5
88,2.6,16.3,4
89,28.5,18.4,2
90,21.4,10.4,4
91,42.9,41.6,1
92,30.3,2.7,5
93,29.1,46.0,3
94,14.1,41.8,2
95,5.8,4.3,5
96,43.4,23.1,2
97,23.0,43.2,3
98,33.7,0.8,5
99,39.3,27.9,2
100,39.5,1.6,5
101,10.2,44.5,2
102,49.1,33.0,3
103,32.6,32.3,1
104,42.4,33.2,1
105,25.9,39.3,3
106,38.9,5.9,4
107,20.1,12.0,2
108,0.8,8.6,3
109,23.2,19.5,3
110,3.4,49.2,4
111,17.9,15.9,5
112,15.6,47.5,4
113,18.9,28.0,4
114,38.2,25.9,4
115,32.7,46.3,2
116,4.5,43.8,4
117,19.6,11.5,1
118,32.3,3.9,5
119,42.1,21.4,2
120,38.9,19.4,1
121,20.2,8.2,4
122,25.9,47.0,4
123,13.1,32.2,3
124,44.9,24.8,2
125,34.8,30.9,2
126,39.0,4.4,5
127,46.3,32.4,3
128,2.3,16.1,2
129,37.4,14.4,4
130,47.6,23.2,5
131,30.3,24.9,1
132,37.9,14.4,5
133,13.4,47.8,4
134,32.3,32.7,1
135,6.7,21.1,5
136,2.0,43.5,4
137,44.0,21.7,2
138,33.9,42.9,2
139,10.9,39.6,3
140,23.2,21.9,4
141,41.1,35.0,4
142,35.9,28.4,4
143,42.6,18.2,2
144,32.0,44.8,4
145,15.2,23.0,5
146,9.6,41.9,1
147,9.4,12.9,2
148,26.9,25.5,3
149,17.0,3.7,2
150,32.0,1.6,2
151,44.2,26.6,1
152,36.5,11.4,2
153,31.2,31.7,4
154,34.0,14.8,4
155,25.9,9.2,2
156,27.6,47.8,3
157,16.1,5.8,2
158,38.2,16.3,5
159,49.3,24.4,5
160,33.6,1.7,4
161,27.1,13.7,4
162,26.8,47.2,2
163,39.9,36.2,3
164,21.5,31.5,5
165,30.9,25.0,3
166,17.1,17.0,4
167,29.1,49.2,4
168,35.5,14.6,1
169,0.9,33.3,1
170,19.9,9.3,5
171,32.2,3.5,1
172,32.3,8.0,4
