from_node,to_node,travel_time_min
0,1,2.0
1,2,1.5
2,3,2.2
1,4,2.5
4,5,1.0
5,6,2.0
2,7,3.0
7,8,1.2
8,9,2.3
3,9,1.8
87,125,2.9
168,139,2.8
45,26,4.1
153,200,4.8
143,169,2.5
197,127,1.3
9,32,1.8
196,166,3.9
183,78,2.7
137,133,2.9
70,67,1.5
18,2,2.4
88,56,4.2
46,16,1.3
39,40,3.9
167,31,3.2
47,107,3.5
108,153,0.8
185,139,1.8
95,83,2.3
2,33,4.5
71,54,0.9
8,16,3.5
20,48,0.6
14,92,0.8
61,177,4.3
71,183,1.5
53,80,4.3
74,168,4.0
170,140,1.0
194,49,0.7
14,75,1.5
1,52,2.4
112,127,0.7
114,77,2.6
179,162,4.4
143,112,2.6
191,62,1.0
67,49,2.5
161,68,0.9
129,184,0.6
59,154,2.9
115,110,4.3
198,81,0.9
134,17,1.2
19,94,2.6
187,140,1.6
59,29,2.9
17,108,3.0
144,6,1.2
113,44,3.8
15,16,2.1
48,86,4.4
24,190,3.1
83,194,4.0
181,189,1.0
98,105,2.3
109,112,2.3
12,164,3.6
186,62,4.2
34,188,1.3
84,72,1.4
93,166,3.7
149,146,2.5
193,74,2.4
148,177,4.5
23,184,2.2
137,123,0.5
19,11,4.0
98,29,1.6
18,5,2.7
175,4,3.1
122,194,3.8
160,85,0.5
11,66,1.9
137,187,3.4
180,86,3.5
7,55,4.2
157,16,1.2
23,82,1.0
2,50,4.1
193,28,3.9
175,146,4.3
99,2,3.3
55,33,4.5
189,149,4.7
136,64,1.5
132,50,0.5
94,121,1.7
111,24,4.7
176,133,4.9
150,197,3.1
36,65,2.0
27,126,3.9
36,116,4.1
44,75,4.8
131,197,3.3
46,12,4.2
197,13,4.3
12,97,4.0
140,145,3.3
138,191,3.3
177,198,4.1
85,0,4.8
139,24,2.6
48,78,1.0
97,59,4.1
79,73,4.9
146,80,3.2
147,170,4.1
179,178,1.0
24,140,1.0
28,119,5.0
33,5,1.2
119,19,4.2
94,118,2.2
99,134,3.8
117,94,3.9
126,29,3.7
36,112,3.0
100,53,1.0
124,15,2.8
85,30,4.8
59,182,3.4
51,18,2.6
128,46,2.3
18,117,4.6
151,137,4.9
68,131,1.4
82,77,3.9
105,187,0.9
8,55,1.7
135,191,1.8
12,23,1.5
120,44,2.4
193,21,0.7
113,193,3.0
192,12,0.9
182,129,4.7
10,30,2.8
37,113,2.8
179,154,4.7
24,142,3.8
58,4,2.4
128,196,3.9
62,188,4.4
140,87,4.7
4,174,2.3
124,184,2.7
194,157,4.9
38,68,1.0
190,99,3.8
53,41,3.2
180,59,3.2
147,127,1.4
45,13,0.7
166,17,3.3
141,48,3.0
0,103,1.0
29,79,0.8
7,99,0.9
172,114,3.5
66,93,2.7
32,180,2.0
200,177,2.8
113,21,1.0
187,7,4.9
14,183,1.0
114,63,4.6
71,10,3.2
188,37,1.0
87,95,4.4
157,56,1.2
65,172,4.6
1,157,4.1
100,167,2.4
21,163,0.9
27,192,2.2
103,139,2.7
167,183,4.8
194,172,1.3
96,150,2.2
16,124,1.9
84,2,4.0
198,69,2.5
123,1,3.2
17,89,2.8
103,67,4.6
73,193,1.4
113,19,3.6
141,157,4.7
126,143,1.7
32,194,1.6
200,63,4.5
112,142,1.9
195,59,1.0
24,196,1.0
185,144,1.5
171,99,3.3
18,25,4.6
79,54,1.0
121,38,1.6
121,131,2.7
163,7,1.1
76,106,4.2
200,136,0.8
144,44,0.9
108,20,2.2
145,77,1.8
195,65,3.0
85,123,4.3
36,103,3.7
15,103,1.9
105,109,1.4
159,53,1.5
108,143,3.4
27,47,2.1
189,146,4.2
154,143,3.7
148,130,4.9
166,197,2.3
4,187,3.4
7,132,2.2
134,164,4.9
111,120,1.0
101,154,4.0
55,153,2.3
66,166,0.9
17,157,1.5
127,141,1.0
106,82,3.0
159,151,3.2
69,33,0.7
92,119,4.1
2,37,3.9
97,3,3.9
24,184,3.9
183,22,0.7
167,192,4.1
173,90,3.4
113,195,4.8
103,167,0.8
113,97,4.4
192,58,1.2
187,0,2.9
21,60,3.7
66,167,3.8
132,74,2.8
109,21,4.0
183,22,0.7
73,164,5.0
196,4,3.8
47,105,2.3
112,49,4.2
86,105,1.9
144,38,3.0
83,53,3.4
66,163,3.1
22,54,2.0
48,104,0.6
45,174,2.8
23,42,2.4
185,93,0.5
149,158,0.5
4,198,4.6
56,172,4.8
5,14,4.8
8,174,0.6
27,49,3.0
55,128,4.6
153,168,1.8
34,61,1.1
131,191,3.8
175,77,0.6
197,190,4.6
152,195,3.3
66,20,4.1
184,76,2.6
127,0,3.0
60,95,1.5
181,161,1.1
134,26,0.6
74,138,4.4
197,102,2.6
177,63,2.5
138,71,2.2
85,18,1.6
20,122,4.3
29,53,1.7
30,162,5.0
141,143,4.4
194,13,3.0
108,33,1.0
159,158,1.2
148,169,0.5
31,47,3.0
16,119,4.2
64,83,1.4
104,192,4.1
53,73,4.1
175,185,4.6
148,139,2.0
48,143,4.0
71,145,4.5
14,16,1.3
99,113,2.5
198,80,0.9
68,15,4.5
51,124,5.0
127,75,3.8
