arrival_time,entry_node,vehicle_id
0,0,Car-A
1,5,Car-B
2,0,Car-C
3,5,Car-D
4,0,Car-E
6,30,Car-100
6,30,Car-101
6,25,Bike-102
7,20,Auto-103
7,20,Van-104
8,20,Bus-106
8,25,Bike-105
9,15,Van-107
10,5,Bike-108
10,12,Auto-109
11,30,Bike-110
11,5,Bus-111
12,20,Auto-112
12,15,Car-113
13,5,Car-114
13,25,Bike-115
14,0,Bike-116
15,0,Bus-118
15,15,Van-117
16,20,Bike-119
17,0,Auto-120
17,20,Bus-121
18,5,Bus-122
19,0,Auto-123
19,12,Bus-124
19,5,Bike-125
20,25,Car-126
20,5,Auto-127
21,5,Auto-128
22,0,Bus-130
22,0,Car-129
23,15,Van-131
24,25,Car-132
24,30,Bike-133
25,0,Van-134
25,10,Auto-135
26,10,Auto-136
27,30,Auto-137
28,5,Van-138
29,20,Van-140
29,0,Auto-141
29,5,Van-139
30,20,Bus-142
31,0,Bike-144
31,20,Van-143
32,0,Bike-145
32,5,Bike-146
33,30,Van-147
33,20,Bus-148
34,30,Auto-149
35,10,Auto-150
35,5,Auto-151
35,20,Car-152
36,0,Van-154
36,5,Bike-155
36,12,Van-153
37,0,Bus-156
37,25,Bike-157
38,0,Auto-158
39,0,Bus-159
39,30,Bike-160
40,25,Bike-161
41,12,Bus-162
41,10,Auto-163
41,20,Bike-164
42,15,Auto-166
42,25,Bike-165
43,0,Bike-167
44,25,Bus-168
45,20,Van-169
45,10,Car-170
46,10,Auto-171
46,10,Bike-172
47,0,Van-173
48,10,Bus-174
48,20,Van-175
49,25,Auto-176
49,12,Car-177
49,5,Car-178
50,12,Auto-179
51,0,Auto-180
51,12,Car-181
52,10,Bus-182
53,12,Auto-183
54,15,Car-184
54,25,Auto-185
55,25,Bike-186
55,0,Bus-187
56,15,Van-188
56,30,Van-189
57,0,Van-190
58,12,Car-192
58,25,Auto-191
59,25,Bike-194
59,12,Van-193
60,30,Auto-195
60,10,Auto-196
61,25,Auto-197
62,10,Van-198
62,25,Car-199
63,0,Van-200
64,10,Auto-201
64,5,Car-202
65,10,Van-203
65,25,Van-204
66,5,Auto-205
67,0,Car-208
67,12,Bus-206
67,25,Van-207
68,10,Van-209
68,0,Bike-210
68,12,Bus-211
69,0,Van-212
69,15,Car-213
70,0,Bike-214
71,25,Van-215
71,10,Bus-216
72,12,Auto-217
73,5,Car-219
73,20,Car-218
74,10,Car-220
74,25,Auto-221
75,5,Bus-222
76,15,Van-223
76,5,Car-224
77,5,Van-225
78,20,Bike-226
78,15,Auto-227
78,5,Auto-228
78,12,Bike-229
79,0,Van-231
79,12,Bike-230
80,25,Auto-232
80,30,Bike-233
81,25,Car-234
82,30,Bus-235
82,12,Auto-236
82,10,Bus-237
82,15,Car-238
83,20,Auto-239
83,12,Car-240
84,25,Auto-242
84,25,Bus-243
84,12,Bus-241
85,0,Car-244
85,30,Car-245
86,10,Car-246
86,15,Bike-247
87,15,Car-248
87,15,Bike-249
87,12,Auto-250
88,0,Bike-251
88,30,Bike-252
89,20,Van-253
89,20,Bus-254
90,12,Car-255
91,30,Bus-256
91,10,Bus-257
92,10,Bus-258
92,30,Bike-259
92,15,Auto-260
93,15,Van-261
93,30,Bike-262
94,12,Car-263
94,5,Bike-264
95,20,Auto-265
95,10,Auto-266
96,30,Auto-268
96,12,Car-267
97,20,Car-269
98,10,Auto-270
98,5,Car-271
99,30,Car-272
100,10,Bike-273
100,10,Car-274
101,10,Auto-275
102,25,Car-276
102,20,Auto-277
103,25,Van-278
104,15,Car-279
105,5,Auto-280
105,15,Car-281
106,20,Bike-282
107,20,Bike-283
107,20,Car-284
108,12,Bike-285
109,0,Bus-286
109,5,Bus-287
110,15,Bike-288
111,20,Auto-289
111,20,Van-290
112,12,Car-291
113,30,Bike-292
114,20,Bike-294
114,30,Car-293
115,5,Auto-295
116,5,Bus-296
116,30,Van-297
116,5,Van-298
117,20,Bus-299
117,20,Car-300
118,20,Bike-301
119,25,Van-305
119,0,Bike-304
119,12,Bus-302
119,20,Car-303
120,0,Car-306
120,0,Auto-307
121,25,Bike-308
121,15,Bike-309
121,10,Van-310
122,30,Bus-311
123,0,Van-314
123,5,Auto-312
123,5,Auto-313
124,25,Auto-317
124,15,Car-318
124,15,Auto-315
124,20,Bus-316
125,30,Bus-319
125,10,Bus-320
125,5,Bike-321
125,10,Bus-322
