camera_id,x_coord,y_coord,coverage_radius_units
0,0.0,0.0,8.0
1,15.0,3.0,7.0
2,20.0,18.0,6.0
3,-3.0,6.0,6.0
4,9.0,11.0,6.0
5,-7.0,-1.0,6.0
6,5.0,5.0,5.0
7,12.0,0.0,6.0
8,-1.5,36.2,8.8
9,-7.0,33.7,8.8
10,-48.0,-23.7,10.6
11,-45.8,-6.6,7.3
12,42.7,-41.2,10.1
13,-18.0,8.8,5.0
14,-42.2,1.3,9.9
15,49.8,30.8,8.1
16,-46.6,36.2,11.7
17,5.8,-16.5,3.7
18,-17.8,25.3,7.3
19,-25.5,7.9,7.6
20,-30.7,31.9,10.2
21,-3.8,-3.6,4.9
22,-42.0,-23.1,7.4
23,16.3,-1.0,4.0
24,4.1,37.0,9.4
25,35.7,46.3,9.7
26,49.3,-10.4,10.9
27,11.7,-35.6,7.0
28,-36.5,2.4,6.3
29,42.5,10.6,8.5
30,35.6,1.3,7.9
31,-0.3,-49.8,9.9
32,21.5,48.7,8.6
33,37.4,-33.8,8.8
34,19.3,-24.0,5.3
35,29.4,-38.8,9.0
36,-49.3,-17.5,8.1
37,-24.0,42.6,8.2
38,30.0,16.3,6.3
39,-30.6,-12.3,6.6
40,9.4,-4.0,4.5
41,4.1,-13.4,4.6
42,25.1,-8.3,5.3
43,-18.4,9.9,5.3
44,-28.7,20.7,7.3
45,29.8,5.1,4.9
46,-29.7,10.7,6.3
47,-29.4,48.7,8.6
48,-44.5,-24.1,8.3
49,23.6,-13.6,7.5
50,46.4,38.8,11.7
51,46.1,-42.2,12.2
52,-17.6,-17.5,5.6
53,16.1,-47.2,9.0
54,-6.2,-49.2,10.7
55,-6.6,17.6,3.9
56,-28.7,9.6,8.4
57,19.0,41.9,9.8
58,-40.8,-25.3,8.5
59,-49.0,45.5,11.6
60,45.8,16.3,9.2
61,-24.3,26.1,8.1
62,-25.0,4.8,7.0
63,-15.1,46.8,9.9
64,49.9,49.6,9.7
65,49.8,-26.4,8.6
66,-35.5,-20.4,9.7
67,27.7,-42.6,9.2
68,-21.7,-22.3,4.8
69,0.4,-41.4,9.0
70,-27.7,45.4,10.3
71,40.6,-29.7,7.5
72,29.8,6.6,5.2
73,23.5,7.0,4.0
74,-4.0,-37.5,7.7
75,41.8,33.5,8.5
76,36.3,43.0,10.5
77,-46.6,-9.0,6.8
78,-6.7,1.6,3.7
79,-9.5,11.0,5.1
80,6.7,19.2,6.2
81,-10.7,23.6,4.7
82,8.3,26.6,6.3
83,29.4,25.6,8.1
84,1.8,-3.5,3.0
85,-35.4,21.7,7.8
86,21.1,34.0,6.0
87,-36.7,-44.8,8.5
88,-38.7,43.3,8.2
89,31.5,-42.0,10.7
90,37.1,-39.1,9.2
91,-34.0,43.3,10.6
92,6.8,10.7,5.5
93,-17.4,48.9,7.3
94,30.4,-7.3,6.5
