point_id,x_coord,y_coord,location_type
0,0.0,0.0,main_gate
1,20.0,2.0,parking_entry
2,18.0,20.0,parking_center
3,-5.0,8.0,rear_gate
4,10.0,10.0,lobby
5,-8.0,-2.0,back_staircase
6,-5.5,47.0,data_center_access
7,7.9,-18.8,parking_center
8,17.1,1.7,huddle_space_3
9,-49.7,-44.4,conf_room_2
10,-30.7,-47.6,huddle_space_3
11,3.0,-3.9,data_center_access
12,-28.7,4.0,parking_center
13,-12.3,-40.2,parking_exit
14,-46.5,41.6,huddle_space_3
15,1.7,38.8,lift_lobby_A
16,-18.7,-13.3,security_desk
17,-35.8,1.1,restroom_north
18,-21.9,38.0,conf_room_2
19,-16.6,7.8,conf_room_1
20,-7.3,15.4,security_desk
21,27.2,-6.0,data_center_access
22,18.5,-21.8,parking_center
23,41.0,-20.7,delivery_bay
24,48.9,-35.2,huddle_space_3
25,-20.0,18.1,parking_exit
26,-7.0,4.1,server_rack_row
27,25.3,49.7,huddle_space_3
28,-2.5,6.0,lobby
29,-33.6,36.8,interview_room
30,-22.9,3.1,huddle_space_3
31,50.0,22.4,lift_lobby_A
32,-34.9,29.7,lobby
33,15.9,18.1,restroom_south
34,-47.8,19.4,lift_lobby_A
35,3.7,-9.8,conf_room_2
36,-15.4,16.3,stairwell_C
37,38.9,-3.6,parking_exit
38,-1.0,-25.6,restroom_south
39,-9.4,39.6,restroom_north
40,-10.1,-27.9,parking_exit
41,-42.0,-38.3,delivery_bay
42,-21.9,4.2,stairwell_C
43,-49.8,27.4,conf_room_1
44,-2.3,-26.1,security_desk
45,35.9,9.1,conf_room_1
46,-23.3,-34.3,conf_room_2
47,-20.1,-34.6,lift_lobby_A
48,-22.1,-30.6,huddle_space_3
49,-41.5,-21.2,restroom_south
50,-1.2,19.7,cafe_entrance
51,-32.1,39.1,conf_room_1
52,-8.4,-15.5,data_center_access
53,16.0,-25.2,huddle_space_3
54,-34.8,33.4,restroom_north
55,-2.9,34.0,restroom_north
56,-46.6,-16.9,cafe_entrance
57,22.6,-1.8,huddle_space_3
58,16.2,3.7,stairwell_C
59,-0.2,14.6,stairwell_C
60,29.3,38.5,conf_room_1
61,-15.0,2.1,restroom_south
62,35.3,49.7,data_center_access
63,-9.3,-19.1,conf_room_2
64,-14.0,-39.8,lobby
65,-46.2,-8.5,data_center_access
66,18.2,-39.1,parking_center
67,-23.8,21.9,security_desk
68,36.6,-18.7,restroom_south
69,1.6,-28.3,server_rack_row
70,-4.7,-22.0,parking_center
71,-7.8,-40.5,huddle_space_3
72,-9.4,33.7,stairwell_C
73,-4.5,-42.4,parking_center
74,-23.9,-49.6,huddle_space_3
75,-12.7,39.0,delivery_bay
76,-17.2,-48.9,huddle_space_3
77,14.2,-42.5,stairwell_C
78,48.3,48.2,data_center_access
79,-46.7,-42.8,restroom_north
80,20.9,-30.2,data_center_access
81,47.7,35.9,interview_room
82,32.9,-14.7,conf_room_1
83,-38.6,-37.1,lift_lobby_A
84,26.7,-11.1,conf_room_1
85,-20.3,-49.5,conf_room_2
86,42.6,12.9,restroom_north
87,13.0,2.0,parking_center
88,-28.7,48.5,conf_room_2
89,2.6,-3.1,restroom_north
90,12.0,21.9,huddle_space_3
91,-10.4,-6.5,conf_room_2
92,-2.9,-42.4,stairwell_C
93,9.7,37.4,security_desk
94,-49.8,-10.7,interview_room
95,-37.4,24.1,huddle_space_3
96,46.6,30.0,delivery_bay
97,0.9,37.6,data_center_access
98,-27.4,-22.7,parking_center
99,40.0,33.2,conf_room_1
100,35.7,-36.8,server_rack_row
101,39.7,15.3,restroom_south
102,17.9,-40.4,server_rack_row
103,12.8,-31.8,parking_center
104,-38.7,-6.1,lift_lobby_A
105,4.2,-19.0,delivery_bay
106,30.1,-8.1,data_center_access
107,4.8,29.8,lobby
108,-37.3,-30.6,cafe_entrance
109,4.7,14.6,lobby
110,-5.2,-49.6,security_desk
111,-35.0,15.5,cafe_entrance
112,37.1,1.9,lift_lobby_A
113,-41.5,-6.8,data_center_access
114,0.1,-30.3,lobby
115,-40.0,-11.5,server_rack_row
116,-15.1,-47.8,restroom_north
117,41.8,-42.8,conf_room_2
118,-33.2,43.7,conf_room_2
119,-35.1,-24.3,restroom_north
120,-47.8,16.8,data_center_access
121,1.7,14.1,delivery_bay
122,-10.8,-33.0,restroom_north
123,0.6,3.2,security_desk
124,-29.2,-17.4,restroom_north
125,31.5,48.2,parking_center
126,-17.8,26.4,cafe_entrance
127,-15.6,9.3,restroom_north
128,-3.6,-8.6,lobby
129,-19.6,3.4,parking_center
130,-14.4,-39.0,cafe_entrance
131,16.6,18.2,cafe_entrance
