section,heap_id,node,production_time,safe_duration,current_time,time_left
HEAPS,0,0,60,120,180,0
HEAPS,1,1,100,90,180,10
HEAPS,2,2,110,80,180,10
HEAPS,3,4,130,60,180,10
HEAPS,4,6,140,50,180,10
HEAPS,5,8,150,40,180,10
HEAPS,6,9,160,30,180,10
HEAPS,7,12,170,20,180,10
HEAPS,8,15,180,10,180,10
HEAPS,9,18,190,5,180,15
HEAPS,10,20,95,100,180,15
HEAPS,11,22,105,85,180,10
HEAPS,12,24,115,75,180,10
HEAPS,13,25,125,65,180,10
HEAPS,14,26,135,55,180,10
HEAPS,15,27,145,45,180,10
HEAPS,16,28,155,35,180,10
HEAPS,17,29,165,25,180,10
HEAPS,18,30,175,15,180,10
HEAPS,19,31,185,10,180,15
HEAPS,20,32,195,5,180,20
HEAPS,21,33,70,140,180,30
HEAPS,22,34,80,130,180,30
HEAPS,23,35,90,120,180,30
HEAPS,24,36,100,110,180,30
HEAPS,25,37,110,100,180,30
HEAPS,26,38,120,90,180,30
HEAPS,27,39,130,80,180,30
HEAPS,28,40,140,70,180,30
HEAPS,29,41,150,60,180,30
HEAPS,30,42,160,50,180,30
HEAPS,31,43,170,40,180,30
HEAPS,32,44,180,30,180,30
HEAPS,33,45,190,20,180,30
HEAPS,34,46,200,10,180,30
HEAPS,35,47,65,150,180,35
HEAPS,36,48,75,145,180,40
HEAPS,37,49,85,135,180,40
HEAPS,38,50,95,125,180,40
HEAPS,39,51,105,115,180,40
HEAPS,40,52,115,105,180,40
HEAPS,41,53,125,95,180,40
HEAPS,42,54,135,85,180,40
HEAPS,43,55,145,75,180,40
HEAPS,44,56,155,65,180,40
HEAPS,45,57,165,55,180,40
HEAPS,46,58,175,45,180,40
HEAPS,47,59,185,35,180,40
HEAPS,48,60,195,25,180,40
HEAPS,49,61,205,15,180,40
HEAPS,50,62,215,5,180,40
HEAPS,51,63,60,130,180,10
HEAPS,52,64,80,120,180,20
HEAPS,53,65,90,110,180,20
HEAPS,54,66,100,100,180,20
HEAPS,55,67,110,90,180,20
HEAPS,56,68,120,80,180,20
HEAPS,57,69,130,70,180,20
HEAPS,58,70,140,60,180,20
HEAPS,59,71,150,50,180,20
HEAPS,60,72,160,40,180,20
HEAPS,61,73,170,30,180,20
HEAPS,62,74,180,20,180,20
HEAPS,63,75,190,10,180,20
HEAPS,64,76,200,5,180,25
HEAPS,65,77,210,5,180,35
HEAPS,66,78,220,5,180,45
HEAPS,67,79,230,5,180,55
HEAPS,68,80,240,5,180,65
HEAPS,69,81,250,5,180,75
HEAPS,70,82,60,140,180,20
HEAPS,71,83,70,130,180,20
HEAPS,72,84,80,120,180,20
HEAPS,73,85,90,110,180,20
HEAPS,74,86,100,100,180,20
HEAPS,75,87,110,90,180,20
HEAPS,76,88,120,80,180,20
HEAPS,77,89,130,70,180,20
HEAPS,78,90,140,60,180,20
HEAPS,79,91,150,50,180,20
HEAPS,80,92,160,40,180,20
HEAPS,81,93,170,30,180,20
HEAPS,82,94,180,20,180,20
HEAPS,83,95,190,10,180,20
HEAPS,84,96,200,5,180,25
HEAPS,85,97,210,5,180,35
HEAPS,86,98,220,5,180,45
HEAPS,87,99,230,5,180,55
HEAPS,88,100,240,5,180,65
HEAPS,89,101,250,5,180,75
HEAPS,90,102,60,150,180,30
HEAPS,91,103,70,140,180,30
HEAPS,92,104,80,130,180,30
HEAPS,93,105,90,120,180,30
HEAPS,94,106,100,110,180,30
HEAPS,95,107,110,100,180,30
HEAPS,96,108,120,90,180,30
HEAPS,97,109,130,80,180,30
HEAPS,98,110,140,70,180,30
HEAPS,99,111,150,60,180,30
HEAPS,100,112,160,50,180,30
HEAPS,101,113,170,40,180,30
HEAPS,102,114,180,30,180,30
HEAPS,103,115,190,20,180,30
HEAPS,104,116,200,10,180,30
HEAPS,105,117,210,5,180,35
HEAPS,106,118,220,5,180,45
HEAPS,107,119,230,5,180,55
ROADS,from_node,to_node,cost,,,
ROADS,0,1,4.0,,,
ROADS,1,2,3.0,,,
ROADS,2,3,5.0,,,
ROADS,1,4,2.5,,,
ROADS,4,5,4.5,,,
ROADS,3,6,6.0,,,
ROADS,5,6,2.0,,,
ROADS,0,7,5.5,,,
ROADS,7,8,3.2,,,
ROADS,8,9,4.8,,,
ROADS,9,10,2.1,,,
ROADS,10,11,3.5,,,
ROADS,11,12,6.1,,,
ROADS,12,13,2.9,,,
ROADS,13,14,4.2,,,
ROADS,14,15,3.8,,,
ROADS,15,16,5.3,,,
ROADS,16,17,2.7,,,
ROADS,17,18,4.1,,,
ROADS,18,19,3.6,,,
ROADS,19,20,5.0,,,
ROADS,20,21,2.5,,,
ROADS,21,22,3.9,,,
ROADS,22,23,4.6,,,
ROADS,23,24,3.1,,,
ROADS,24,25,5.2,,,
ROADS,25,26,2.8,,,
ROADS,26,27,4.3,,,
ROADS,27,28,3.7,,,
ROADS,28,29,5.1,,,
ROADS,29,30,2.6,,,
ROADS,30,31,4.0,,,
ROADS,31,32,4.7,,,
ROADS,32,33,3.3,,,
ROADS,33,34,5.4,,,
ROADS,34,35,2.9,,,
ROADS,35,36,4.4,,,
ROADS,36,37,3.9,,,
ROADS,37,38,5.3,,,
ROADS,38,39,2.7,,,
ROADS,39,40,4.1,,,
ROADS,40,41,4.6,,,
ROADS,41,42,3.2,,,
ROADS,42,43,5.5,,,
ROADS,43,44,2.8,,,
ROADS,44,45,4.3,,,
ROADS,45,46,3.8,,,
ROADS,46,47,5.2,,,
ROADS,47,48,2.6,,,
ROADS,48,49,4.0,,,
ROADS,49,50,4.7,,,
ROADS,50,51,3.3,,,
ROADS,51,52,5.4,,,
ROADS,52,53,2.9,,,
ROADS,53,54,4.4,,,
ROADS,54,55,3.9,,,
ROADS,55,56,5.3,,,
ROADS,56,57,2.7,,,
ROADS,57,58,4.1,,,
ROADS,58,59,4.6,,,
ROADS,59,60,3.2,,,
ROADS,60,61,5.5,,,
ROADS,61,62,2.8,,,
