source,destination,distance_m,walk_time_min,path_type,accessibility_level
Physics_Block,Chem_Block,120,2,corridor,high
Physics_Block,Math_Dept,180,3,walkway,high
Physics_Block,Library,400,6,road,medium
Chem_Block,Bio_Dept,150,2,walkway,high
Chem_Block,Lab_Complex_A,200,3,paved_path,high
Math_Dept,Computer_Centre,250,4,road,medium
Math_Dept,Canteen_Main,300,4,walkway,high
Bio_Dept,Greenhouse,80,1,gravel_path,low
Bio_Dept,Hostel_D,500,7,road,medium
Lab_Complex_A,Lab_Complex_B,100,2,corridor,high
Lab_Complex_A,Workshop_Main,350,5,road,medium
Lab_Complex_B,Research_Wing,120,2,corridor,high
Computer_Centre,Server_Farm,50,1,paved_path,high
Computer_Centre,Library,180,3,walkway,high
Research_Wing,PhD_Scholar_Hostel,400,6,road,high
Research_Wing,Innovation_Cell,80,1,corridor,high
Workshop_Main,Civil_Yard,60,1,dirt_path,low
Workshop_Main,Mechanical_Hangar,100,2,road,high
Civil_Yard,Survey_Field,200,3,gravel_path,low
Mechanical_Hangar,Automotive_Lab,50,1,paved_path,high
Automotive_Lab,Gate_2,600,9,road,medium
Hostel_D,Hostel_E,100,2,walkway,high
Hostel_D,Mess_Hall_2,80,1,paved_path,high
Hostel_E,Basketball_Court_2,50,1,paved_path,medium
Hostel_E,Laundry_Centre,120,2,walkway,high
Hostel_F,Hostel_G,150,2,road,medium
Hostel_F,Common_Room,40,1,corridor,high
Hostel_G,Gym_B,60,1,paved_path,high
Hostel_H,International_House,200,3,road,high
International_House,Guest_House_VIP,150,2,walkway,high
Guest_House_VIP,Director_Residence,300,4,road,high
Director_Residence,Admin_Block,500,7,road,high
Mess_Hall_1,Hostel_A,100,2,walkway,high
Mess_Hall_1,Hostel_B,120,2,walkway,high
Mess_Hall_2,Hostel_C,110,2,walkway,high
Canteen_Main,Student_Plaza,50,1,paved_path,high
Canteen_Main,Bookstore,40,1,corridor,high
Canteen_Night,Hostel_Block_Group,200,3,road,medium
Bookstore,Stationery_Shop,10,1,corridor,high
Stationery_Shop,Photocopy_Centre,15,1,corridor,high
Photocopy_Centre,Library,100,2,walkway,high
Student_Plaza,Amphitheatre,80,1,stairs,low
Student_Plaza,Coffee_Shop,30,1,paved_path,high
Amphitheatre,Open_Air_Theatre,150,2,gravel_path,medium
Open_Air_Theatre,Music_Room,60,1,walkway,medium
Music_Room,Arts_Studio,40,1,corridor,high
Arts_Studio,Architecture_Block,200,3,road,high
Architecture_Block,Design_Lab,50,1,corridor,high
Design_Lab,Model_Workshop,60,1,walkway,high
Model_Workshop,Exhibition_Hall,120,2,paved_path,high
Exhibition_Hall,Main_Auditorium,150,2,walkway,high
Main_Auditorium,Parking_Lot_B,100,2,road,high
Main_Auditorium,VIP_Lounge,50,1,carpeted_path,high
Parking_Lot_A,Admin_Block,200,3,road,high
Parking_Lot_B,Sports_Complex,300,4,road,medium
Parking_Lot_C,Hostel_Zone,400,6,road,medium
Parking_Lot_Staff,Dept_Block_1,50,1,paved_path,high
Dept_Block_1,Dept_Block_2,100,2,corridor,high
Dept_Block_2,Dept_Block_3,100,2,corridor,high
Dept_Block_3,Faculty_Offices,80,1,elevator,high
Faculty_Offices,Dean_Office,40,1,corridor,high
Dean_Office,Conference_Room_A,30,1,corridor,high
Conference_Room_A,Board_Room,20,1,corridor,high
Board_Room,Pantry,10,1,corridor,high
