node_a,node_b,cable_length_m,installation_cost,terrain_type,risk_factor
Zone1,Zone2,150,5000,urban,low
Zone1,Zone3,280,9200,mixed,medium
Zone1,Zone4,320,10500,suburban,high
Zone1,Zone5,550,18000,rural,very_high
Zone1,Zone6,480,15800,rural,high
Zone1,Zone7,210,6800,urban,low
Zone1,Zone8,390,12800,suburban,medium
Zone1,Zone9,620,20500,rural,very_high
Zone1,Zone10,300,9800,mixed,medium
Zone2,Zone3,190,6300,urban,low
Zone2,Zone4,380,12500,suburban,medium
Zone2,Zone5,410,13500,rural,medium
Zone2,Zone6,260,8600,mixed,low
Zone2,Zone7,340,11200,suburban,medium
Zone2,Zone8,500,16500,rural,high
Zone2,Zone9,610,19800,rural,very_high
Zone2,Zone10,290,9400,urban,low
Zone3,Zone4,220,7200,mixed,low
Zone3,Zone5,380,12400,rural,high
Zone3,Zone6,350,11500,suburban,medium
Zone3,Zone7,270,8900,urban,low
Zone3,Zone8,430,14000,rural,medium
Zone3,Zone9,590,19000,rural,very_high
Zone3,Zone10,310,10200,mixed,medium
Zone4,Zone5,290,9500,suburban,medium
Zone4,Zone6,330,10800,mixed,medium
Zone4,Zone7,240,7800,urban,low
Zone4,Zone8,470,15200,rural,high
Zone4,Zone9,650,21500,rural,very_high
Zone4,Zone10,360,11800,suburban,medium
Zone5,Zone6,200,6500,mixed,low
Zone5,Zone7,420,13800,rural,medium
Zone5,Zone8,560,18500,rural,high
Zone5,Zone9,700,23500,rural,very_high
Zone5,Zone10,390,12700,suburban,medium
Zone6,Zone7,230,7600,urban,low
Zone6,Zone8,410,13400,suburban,medium
Zone6,Zone9,580,19200,rural,high
Zone6,Zone10,340,11100,mixed,medium
Zone7,Zone8,260,8400,urban,low
Zone7,Zone9,510,16800,rural,medium
Zone7,Zone10,300,9700,suburban,medium
Zone8,Zone9,450,15000,rural,high
Zone8,Zone10,370,12100,mixed,medium
Zone9,Zone10,600,20000,rural,very_high
Zone10,Zone11,220,7200,urban,low
Zone11,Zone12,310,10100,mixed,medium
Zone12,Zone13,420,13800,rural,medium
Zone13,Zone14,500,16500,rural,high
Zone14,Zone15,650,21500,rural,very_high
Zone11,Zone13,280,9200,suburban,medium
Zone12,Zone14,360,11800,suburban,medium
Zone13,Zone15,540,18000,rural,high
Zone10,Zone12,330,10800,mixed,medium
Zone11,Zone14,470,15200,rural,high
Zone12,Zone15,610,19800,rural,very_high
Zone9,Zone11,290,9400,urban,low
Zone8,Zone12,350,11500,suburban,medium
Zone7,Zone13,480,15800,rural,high
Zone6,Zone14,560,18500,rural,high
Zone5,Zone15,720,24000,rural,very_high
Zone4,Zone11,310,10200,mixed,medium
Zone3,Zone12,400,13200,suburban,medium
Zone2,Zone13,520,17200,rural,high
Zone1,Zone14,680,22500,rural,very_high
Zone10,Zone15,580,19200,rural,high
Zone8,Zone15,640,21200,rural,very_high
Zone6,Zone13,460,14900,rural,medium
Zone7,Zone12,340,11100,suburban,medium
Zone9,Zone14,630,20800,rural,very_high
Zone11,Zone15,590,19500,rural,high
Zone5,Zone12,410,13500,rural,medium
Zone4,Zone13,450,15000,rural,high
Zone3,Zone14,620,20500,rural,very_high
Zone2,Zone15,700,23500,rural,very_high
