stop_id,stop_name,latitude,longitude,passenger_demand,accessibility,zone,distance_from_prev_km
S001,School_Main_Gate,28.5435,77.1832,500,high,North,0
S002,Library_Junction,28.5412,77.1876,350,high,North,2.5
S003,Admin_Block,28.5388,77.1921,200,medium,Central,1.8
S004,Cafeteria_Area,28.5365,77.1945,600,high,Central,1.2
S005,Hostel_Complex,28.5342,77.1876,450,medium,South,1.4
S006,Sports_Complex,28.5301,77.1812,280,low,South,2.1
S007,Medical_Center,28.5298,77.1945,220,high,South,2.3
S008,Gate_Exit,28.5425,77.1789,150,high,North,1.8
S009,Guest_House,28.5380,77.1762,100,low,West,2.2
S010,Parking_Zone,28.5355,77.1750,50,low,West,1.5
S011,Engineering_Block,28.5448,77.1895,420,high,North,1.6
S012,Science_Block,28.5462,77.1938,380,high,North,1.4
S013,Arts_Block,28.5420,77.1981,260,medium,Central,1.9
S014,Auditorium,28.5395,77.2002,300,high,Central,1.3
S015,Research_Center,28.5372,77.2025,180,medium,Central,1.1
S016,Faculty_Housing,28.5338,77.1998,240,medium,South,1.7
S017,Staff_Quarters,28.5315,77.1972,200,medium,South,1.4
S018,Indoor_Stadium,28.5289,77.1935,260,medium,South,1.8
S019,Swimming_Pool,28.5272,77.1898,190,low,South,1.6
S020,Cricket_Ground,28.5255,77.1856,310,medium,South,1.9
S021,North_Hostel_A,28.5480,77.1852,360,medium,North,2.4
S022,North_Hostel_B,28.5495,77.1886,340,medium,North,1.2
S023,North_Canteen,28.5478,77.1915,420,high,North,1.1
S024,Innovation_Hub,28.5460,77.1960,280,high,Central,1.6
S025,Startup_Center,28.5442,77.1992,260,medium,Central,1.4
S026,Exam_Center,28.5418,77.2028,390,high,Central,1.7
S027,Central_Lawn,28.5390,77.2051,450,high,Central,1.2
S028,Open_Air_Theatre,28.5365,77.2070,320,medium,Central,1.3
S029,Souvenir_Shop,28.5342,77.2046,150,low,South,1.5
S030,South_Canteen,28.5320,77.2015,410,high,South,1.4
S031,Girls_Hostel_A,28.5295,77.1988,380,medium,South,1.6
S032,Girls_Hostel_B,28.5280,77.1962,360,medium,South,1.3
S033,Boys_Hostel_A,28.5265,77.1936,400,medium,South,1.4
S034,Boys_Hostel_B,28.5250,77.1910,420,medium,South,1.2
S035,South_Gate,28.5232,77.1875,300,high,South,1.8
S036,West_Gate,28.5340,77.1705,280,high,West,2.6
S037,Security_Office,28.5375,77.1690,120,medium,West,1.1
S038,Power_Substation,28.5400,77.1678,80,low,West,1.3
S039,Maintenance_Yard,28.5425,77.1662,90,low,West,1.2
S040,Transport_Office,28.5450,77.1650,140,medium,West,1.4
S041,East_Gate,28.5408,77.2105,320,high,East,2.8
S042,Visitor_Center,28.5432,77.2120,260,high,East,1.2
S043,Conference_Hall,28.5455,77.2145,290,high,East,1.3
S044,IT_Services,28.5478,77.2168,240,medium,East,1.4
S045,Data_Center,28.5495,77.2192,180,medium,East,1.6
S046,East_Hostel_A,28.5510,77.2215,360,medium,East,1.5
S047,East_Hostel_B,28.5525,77.2240,340,medium,East,1.4
S048,Faculty_Club,28.5488,77.2180,220,medium,East,1.7
S049,Shopping_Complex,28.5460,77.2150,520,high,East,1.6
S050,Bus_Terminal,28.5430,77.2125,650,high,Central,1.9
S051,Metro_Shuttle_Stop,28.5410,77.2095,700,high,Central,1.4
S052,Logistics_Gate,28.5390,77.2075,180,medium,Central,1.2
S053,Recycling_Unit,28.5370,77.2050,90,low,Central,1.1
S054,Water_Treatment_Plant,28.5350,77.2025,110,medium,South,1.3
S055,Solar_Park,28.5330,77.2000,130,medium,South,1.4
S056,Botanical_Garden,28.5310,77.1975,270,high,South,1.5
S057,Jogging_Track,28.5290,77.1950,300,medium,South,1.2
S058,Yoga_Center,28.5270,77.1925,210,medium,South,1.3
S059,Alumni_House,28.5250,77.1900,160,medium,South,1.4
S060,Old_Academic_Block,28.5230,77.1875,190,medium,South,1.6
