room_id,floor_number,room_type,distance_to_nearest_exit_m,connected_room_1,connected_room_2,sprinkler_present,fire_rated_door,occupancy
R101,1,Reception,10,Entrance_Hall,R102,yes,no,5
R102,1,Corridor_Main,15,R101,R103,yes,yes,20
R103,1,Admin_Office,25,R102,R104,yes,yes,8
R104,1,Registrar,30,R103,R105,yes,yes,6
R105,1,Corridor_East,35,R104,Stairwell_A,yes,yes,15
R106,1,Admissions,40,R105,R107,yes,yes,12
R107,1,Waiting_Area,45,R106,R108,yes,no,20
R108,1,Restroom_M,50,R107,R105,yes,yes,4
R109,1,Restroom_F,50,R107,R105,yes,yes,4
R110,1,Lecture_Hall_A,20,R102,Exit_East,yes,yes,120
R111,1,Lecture_Hall_B,25,R102,R112,yes,yes,120
R112,1,Corridor_West,30,R111,R113,yes,yes,18
R113,1,Cafeteria,40,R112,Exit_West,yes,no,80
R114,1,Kitchen,50,R113,Storage_1,yes,yes,10
R115,1,Storage_1,55,R114,Loading_Dock,no,yes,2
R116,1,Faculty_Lounge,35,R112,R117,yes,yes,15
R117,1,Mail_Room,30,R116,R102,yes,yes,3
R118,1,Security_Desk,5,Entrance_Hall,R102,yes,yes,2
R119,1,Utility_Room,60,R105,R120,no,yes,1
R120,1,Janitor_Closet,60,R119,R105,no,yes,1
R121,1,Student_Union,25,R102,R122,yes,no,40
R122,1,Game_Room,30,R121,R123,yes,no,15
R123,1,Corridor_South,35,R122,Exit_South,yes,yes,12
R124,1,Bookstore,20,Entrance_Hall,R125,yes,yes,25
R125,1,Storage_Books,25,R124,R123,no,yes,3
R126,1,IT_Helpdesk,40,R105,R127,yes,yes,5
R127,1,Server_Room_Local,45,R126,R105,yes,yes,2
R128,1,Conf_Room_Small,30,R103,R102,yes,yes,10
R129,1,Archive_Room,55,R104,R105,no,yes,2
R130,1,Stairwell_B,15,R112,Exit_West,yes,yes,5
R131,1,Elevator_Lobby,20,R102,R132,yes,yes,10
R132,1,Elevator_1,20,R131,R102,yes,yes,8
R133,1,Elevator_2,20,R131,R102,yes,yes,8
R134,1,Seminar_Room_1,45,R105,R135,yes,yes,30
R135,1,Seminar_Room_2,45,R105,R134,yes,yes,30
R136,1,Career_Center,35,R102,R137,yes,yes,10
R137,1,Interview_Rm_1,40,R136,R102,yes,yes,4
R138,1,Interview_Rm_2,40,R136,R102,yes,yes,4
R139,1,Clinic_Recep,25,R123,R140,yes,yes,6
R140,1,Nurse_Office,30,R139,R141,yes,yes,3
R141,1,Sick_Bay,35,R140,R123,yes,yes,4
R142,1,Counseling_Rm,40,R123,R143,yes,yes,3
R143,1,Corridor_North,50,R142,Exit_North,yes,yes,10
R144,1,Lost_Found,15,Entrance_Hall,R118,yes,yes,2
R145,1,ATM_Vestibule,10,Entrance_Hall,Exit_Main,no,no,5
R146,1,Vending_Area,35,R112,R113,yes,no,6
R147,1,Copy_Center,45,R105,R148,yes,yes,4
R148,1,Paper_Storage,50,R147,R105,no,no,1
R149,1,Tech_Support,55,R123,R150,yes,yes,8
R150,1,E_Waste_Store,60,R149,R123,no,yes,1
R201,2,Corridor_Main,20,Stairwell_A,R202,yes,yes,25
R202,2,Classroom_2A,25,R201,R203,yes,yes,40
R203,2,Classroom_2B,30,R201,R204,yes,yes,40
R204,2,Corridor_East,35,R203,R205,yes,yes,15
R205,2,Comp_Lab_1,40,R204,R206,yes,yes,30
R206,2,Server_Closet,45,R205,R204,yes,yes,2
R207,2,Comp_Lab_2,40,R204,R208,yes,yes,30
R208,2,Print_Station,45,R207,R204,yes,no,5
R209,2,Restroom_M,35,R201,R210,yes,yes,4
R210,2,Restroom_F,35,R201,R209,yes,yes,4
R211,2,Prof_Office_1,50,R204,R212,yes,yes,2
R212,2,Prof_Office_2,50,R204,R211,yes,yes,2
R213,2,Corridor_West,25,R201,Stairwell_B,yes,yes,20
R214,2,Physics_Lab_1,30,R213,R215,yes,yes,25
R215,2,Prep_Room_Phys,35,R214,R216,no,yes,3
R216,2,Hazmat_Store,40,R215,R213,no,yes,1
R217,2,Physics_Lab_2,30,R213,R218,yes,yes,25
R218,2,Dark_Room,35,R217,R213,yes,yes,4
R219,2,Study_Lounge,45,R213,R220,yes,no,15
R220,2,Vending_2,50,R219,R213,yes,no,3
R221,2,Tutor_Room_1,55,R213,R222,yes,yes,6
R222,2,Tutor_Room_2,55,R213,R221,yes,yes,6
R223,2,Elevator_Lobby,20,R201,R224,yes,yes,12
R224,2,Elevator_1,20,R223,R201,yes,yes,8
R225,2,Elevator_2,20,R223,R201,yes,yes,8
R226,2,Janitor_Closet,60,R204,R227,no,yes,1
R227,2,Utility_Shaft,65,R226,R204,no,yes,0
R228,2,Dept_Head_Office,45,R204,R229,yes,yes,3
R229,2,Secretary_Desk,40,R228,R204,yes,no,2
R230,2,Meeting_Room_Med,35,R201,R231,yes,yes,12
R231,2,Storage_Gen,40,R230,R201,no,no,4
R232,2,Balcony_Access,60,R219,Exit_Fire_Escape,yes,yes,5
R233,2,Project_Room_A,50,R204,R234,yes,yes,8
R234,2,Project_Room_B,50,R204,R233,yes,yes,8
R235,2,Quiet_Study,55,R204,R236,yes,no,10
R236,2,Librarian_Desk,60,R235,R204,yes,yes,2
R237,2,Book_Stack_A,65,R235,R238,yes,yes,5
R238,2,Book_Stack_B,65,R235,R237,yes,yes,5
R239,2,Corridor_North,40,R201,R240,yes,yes,10
R240,2,Classroom_2C,45,R239,R241,yes,yes,35
R241,2,Classroom_2D,50,R239,R240,yes,yes,35
R242,2,Graduate_Office,55,R239,R243,yes,yes,6
R243,2,Research_Lab_Small,60,R242,R239,yes,yes,4
R244,2,First_Aid_Point,25,R201,R223,yes,yes,1
R245,2,Water_Cooler,25,R201,R202,no,no,1
R246,2,Notice_Board_Area,20,R201,Stairwell_A,yes,no,5
R247,2,Lockers_Student,30,R213,R248,yes,no,8
R248,2,Changing_Room,35,R247,R213,yes,yes,6
R249,2,Gym_Small,40,R248,R213,yes,yes,10
R250,2,Equip_Storage,45,R249,R213,no,no,2
R301,3,Corridor_Main,20,Stairwell_A,R302,yes,yes,20
R302,3,Bio_Lab_1,25,R301,R303,yes,yes,25
R303,3,Bio_Prep_Room,30,R302,R304,no,yes,3
R304,3,Chem_Lab_1,35,R301,R305,yes,yes,25
R305,3,Chem_Store_Haz,40,R304,R301,yes,yes,1
R306,3,Fume_Hood_Rm,40,R304,R301,yes,yes,2
R307,3,Corridor_East,45,R301,R308,yes,yes,15
R308,3,Microscope_Lab,50,R307,R309,yes,yes,20
R309,3,Slide_Storage,55,R308,R307,no,yes,1
R310,3,Prof_Office_3,60,R307,R311,yes,yes,2
R311,3,Prof_Office_4,60,R307,R310,yes,yes,2
R312,3,Restroom_M,30,R301,R313,yes,yes,4
R313,3,Restroom_F,30,R301,R312,yes,yes,4
R314,3,Corridor_West,35,R301,Stairwell_B,yes,yes,15
R315,3,Classroom_3A,40,R314,R316,yes,yes,40
R316,3,Classroom_3B,45,R314,R315,yes,yes,40
R317,3,AV_Room,50,R315,R314,no,yes,2
R318,3,Student_Club_Rm,55,R314,R319,yes,no,10
R319,3,Meeting_Room_Sm,60,R318,R314,yes,yes,6
R320,3,Elevator_Lobby,20,R301,R321,yes,yes,10
R321,3,Elevator_1,20,R320,R301,yes,yes,8
R322,3,Elevator_2,20,R320,R301,yes,yes,8
R323,3,Janitor_Closet,65,R307,R324,no,yes,1
R324,3,Electrical_Room,70,R323,R307,no,yes,1
R325,3,Research_Lab_Adv,50,R314,R326,yes,yes,8
R326,3,Cold_Storage,55,R325,R314,yes,yes,1
R327,3,Incubator_Room,55,R325,R314,yes,yes,2
R328,3,Botany_Lab,45,R307,R329,yes,yes,20
R329,3,Greenhouse_Attached,50,R328,Exit_Fire_Escape,yes,no,5
R330,3,Soil_Prep_Rm,50,R328,R307,no,yes,2
R331,3,Zoology_Lab,45,R307,R332,yes,yes,20
R332,3,Specimen_Mus,50,R331,R307,yes,no,10
R333,3,Corridor_South,55,R301,R334,yes,yes,10
R334,3,PhD_Desk_Area,60,R333,R335,yes,yes,12
R335,3,Discussion_Pod,65,R334,R333,yes,no,4
R336,3,Coffee_Point,25,R301,R320,no,no,3
R337,3,Recycling_Bin_Area,25,R301,R307,no,no,1
R338,3,Safety_Shower_1,25,R302,R301,yes,no,1
R339,3,Safety_Shower_2,35,R304,R301,yes,no,1
R340,3,Lecture_Hall_C,30,R314,R341,yes,yes,80
R341,3,Proj_Booth_C,35,R340,R314,no,yes,2
R342,3,Office_Visiting,60,R307,R343,yes,yes,1
R343,3,Office_Emeritus,60,R307,R342,yes,yes,1
R344,3,Storage_Glassware,45,R307,R304,no,yes,2
R345,3,Autoclave_Room,45,R307,R302,no,yes,2
R346,3,Ice_Machine_Area,30,R301,R307,no,no,1
R347,3,Poster_Hall,25,R301,Stairwell_A,yes,no,10
R348,3,Lounge_Staff,40,R314,R349,yes,yes,8
R349,3,Kitchenette,45,R348,R314,yes,no,3
R350,3,Balcony_East,55,R307,Exit_Fire_Escape,no,yes,5
R401,4,Corridor_Main,20,Stairwell_A,R402,yes,yes,20
R402,4,Dean_Office_Eng,25,R401,R403,yes,yes,5
R403,4,Secretary_Dean,30,R402,R401,yes,no,2
R404,4,Conference_Main,35,R401,R405,yes,yes,25
R405,4,Pantry_Conf,40,R404,R401,yes,no,3
R406,4,Corridor_North,45,R401,R407,yes,yes,10
R407,4,Office_Civil_Head,50,R406,R408,yes,yes,2
R408,4,Office_Mech_Head,50,R406,R407,yes,yes,2
R409,4,Office_Elec_Head,50,R406,R410,yes,yes,2
R410,4,Office_CS_Head,50,R406,R409,yes,yes,2
R411,4,Restroom_Exec,30,R401,R412,yes,yes,2
R412,4,Waiting_Exec,30,R401,R411,yes,no,5
R413,4,Corridor_South,40,R401,R414,yes,yes,10
R414,4,Classroom_4A,45,R413,R415,yes,yes,30
R415,4,Classroom_4B,50,R413,R414,yes,yes,30
R416,4,Drafting_Studio,55,R413,R417,yes,yes,20
R417,4,Plotter_Room,60,R416,R413,no,yes,2
R418,4,Model_Archive,65,R416,R413,no,no,2
R419,4,Elevator_Lobby,20,R401,R420,yes,yes,8
R420,4,Elevator_1,20,R419,R401,yes,yes,8
R421,4,Elevator_2,20,R419,R401,yes,yes,8
R422,4,Stairwell_B,35,R413,Exit_Fire_Escape,yes,yes,5
R423,4,Roof_Access_Stairs,25,R401,R424,no,yes,1
R424,4,Maintenance_Shop,30,R423,R401,yes,yes,3
