route_id,stop_1,stop_2,distance_km,travel_time_min,frequency_per_hour,capacity,route_type,road_condition
T01,Main_Hub_Gate,Cyber_Tower_Alpha,1.2,5,6,30,campus_loop,excellent
T01,Cyber_Tower_Alpha,Innovation_Hub,0.8,3,6,30,campus_loop,excellent
T01,Innovation_Hub,Central_Food_Court,1.0,4,6,30,campus_loop,good
T01,Central_Food_Court,MLCP_North,1.5,6,6,30,campus_loop,good
T01,MLCP_North,Main_Hub_Gate,2.0,8,6,30,campus_loop,excellent
T02,Metro_Station_East,Tech_Park_Entrance,3.5,12,4,50,metro_feeder,average
T02,Tech_Park_Entrance,Silicon_Heights,1.0,4,4,50,metro_feeder,good
T02,Silicon_Heights,Data_Center_Zone,1.5,5,4,50,metro_feeder,good
T03,Main_Hub_Gate,Client_Visit_Center,0.5,2,3,15,vip_shuttle,excellent
T03,Client_Visit_Center,Executive_Hotel,1.2,5,3,15,vip_shuttle,excellent
T03,Executive_Hotel,Main_Hub_Gate,1.5,6,3,15,vip_shuttle,excellent
T04,Employee_Housing_A,Tech_Park_Back_Gate,4.0,15,2,40,commuter,average
T04,Tech_Park_Back_Gate,Cyber_Tower_Beta,1.0,4,2,40,commuter,good
T05,MLCP_South,Tower_Gamma,0.6,3,8,25,parking_shuttle,good
T05,Tower_Gamma,Tower_Delta,0.4,2,8,25,parking_shuttle,good
T05,Tower_Delta,MLCP_South,0.8,4,8,25,parking_shuttle,good
T06,Main_Hub_Gate,Logistics_Dock,2.2,9,2,10,utility,average
T06,Logistics_Dock,Warehouse_1,0.5,2,2,10,utility,average
T06,Warehouse_1,Main_Hub_Gate,2.5,10,2,10,utility,average
T07,Cyber_Tower_Alpha,Gym_Wellness_Center,0.9,4,3,20,employee_welfare,excellent
T07,Gym_Wellness_Center,Creche_Daycare,0.5,2,3,20,employee_welfare,excellent
T07,Creche_Daycare,Cyber_Tower_Alpha,1.1,5,3,20,employee_welfare,good
T08,Startup_Incubator,Venture_Capital_Wing,0.4,2,4,15,internal_link,excellent
T08,Venture_Capital_Wing,Convention_Hall,0.6,3,4,15,internal_link,excellent
T08,Convention_Hall,Startup_Incubator,0.8,3,4,15,internal_link,excellent
T09,Main_Hub_Gate,Fire_Station_Tech,1.0,3,1,10,emergency,good
T09,Fire_Station_Tech,Hazmat_Storage,1.5,5,1,10,emergency,good
T10,Tower_Omega,Amphitheater,0.7,3,2,30,event_shuttle,good
T10,Amphitheater,Rec_Club,0.5,2,2,30,event_shuttle,good
T10,Rec_Club,Tower_Omega,1.0,4,2,30,event_shuttle,good
T11,Main_Hub_Gate,Construction_Site_Ph2,1.8,7,2,20,contractor_bus,bad
T11,Construction_Site_Ph2,Labor_Camp,2.0,8,2,20,contractor_bus,bad
T11,Labor_Camp,Main_Hub_Gate,3.5,12,2,20,contractor_bus,average
T12,Metro_Station_West,FinTech_Tower,2.5,10,5,45,metro_feeder,good
T12,FinTech_Tower,Blockchain_Lab,0.8,3,5,45,metro_feeder,good
T12,Blockchain_Lab,Metro_Station_West,3.0,12,5,45,metro_feeder,average
T13,Cloud_Server_Farm,Cooling_Plant,0.3,1,1,5,maintenance_buggy,excellent
T13,Cooling_Plant,Backup_Generator,0.2,1,1,5,maintenance_buggy,excellent
T13,Backup_Generator,Cloud_Server_Farm,0.4,2,1,5,maintenance_buggy,excellent
T14,Main_Hub_Gate,Public_Bus_Stop,0.2,1,10,50,connector,excellent
T14,Public_Bus_Stop,Main_Hub_Gate,0.2,1,10,50,connector,excellent
T15,Shopping_Plaza,ATM_Vestibule,0.1,1,6,10,walkway_cart,excellent
T15,ATM_Vestibule,Food_Court_South,0.2,1,6,10,walkway_cart,excellent
T15,Food_Court_South,Shopping_Plaza,0.2,1,6,10,walkway_cart,excellent
T16,Main_Hub_Gate,SEZ_Customs_Office,0.5,2,2,10,admin_shuttle,good
T16,SEZ_Customs_Office,Export_Zone,0.8,3,2,10,admin_shuttle,good
T16,Export_Zone,Main_Hub_Gate,1.2,5,2,10,admin_shuttle,good
T17,Tower_Alpha,Smoking_Zone_1,0.1,1,1,0,walking_path,excellent
T17,Tower_Beta,Smoking_Zone_2,0.1,1,1,0,walking_path,excellent
T18,Bio_Informatics_Lab,Green_Zone_Park,0.5,2,3,15,relax_route,good
T18,Green_Zone_Park,Lake_Promenade,0.6,3,3,15,relax_route,excellent
T18,Lake_Promenade,Bio_Informatics_Lab,1.0,4,3,15,relax_route,good
