source,destination,distance_m,walk_time_min,path_type,accessibility_level
CSE_Block,Library,250,4,road,high
CSE_Block,Cafeteria,180,3,walkway,high
CSE_Block,Admin,320,5,road,medium
CSE_Block,Medical_Center,400,6,road,low
CSE_Block,Hostel_A,600,9,road,medium
CSE_Block,Sports_Complex,700,11,road,low
CSE_Block,Gate,500,8,road,high
Library,Cafeteria,150,2,walkway,high
Library,Admin,290,5,road,high
Library,Medical_Center,420,6,road,medium
Library,Hostel_A,450,7,road,high
Library,Sports_Complex,650,10,road,medium
Library,Gate,280,4,road,high
Cafeteria,Admin,260,4,walkway,high
Cafeteria,Medical_Center,200,3,walkway,medium
Cafeteria,Hostel_A,280,4,walkway,medium
Cafeteria,Sports_Complex,380,6,road,low
Cafeteria,Gate,420,7,road,medium
Admin,Medical_Center,220,3,walkway,high
Admin,Hostel_A,280,4,road,high
Admin,Sports_Complex,500,8,road,medium
Admin,Gate,350,5,road,high
Medical_Center,Hostel_A,360,6,road,medium
Medical_Center,Sports_Complex,400,6,walkway,medium
Medical_Center,Gate,300,4,road,high
Hostel_A,Sports_Complex,520,8,road,medium
Hostel_A,Gate,480,7,road,high
Sports_Complex,Gate,450,7,road,low
Library,CSE_Block,250,4,road,high
Cafeteria,CSE_Block,180,3,walkway,high
Admin,CSE_Block,320,5,road,medium
Medical_Center,CSE_Block,400,6,road,low
Hostel_A,CSE_Block,600,9,road,medium
Sports_Complex,CSE_Block,700,11,road,low
Gate,CSE_Block,500,8,road,high
Cafeteria,Library,150,2,walkway,high
Admin,Library,290,5,road,high
Medical_Center,Library,420,6,road,medium
Hostel_A,Library,450,7,road,high
Sports_Complex,Library,650,10,road,medium
Gate,Library,280,4,road,high
Admin,Cafeteria,260,4,walkway,high
Hostel_A,Cafeteria,280,4,walkway,medium
Gate,Cafeteria,420,7,road,medium
Medical_Center,Admin,220,3,walkway,high
Sports_Complex,Admin,500,8,road,medium
Gate,Admin,350,5,road,high
Hostel_A,Medical_Center,360,6,road,medium
Gate,Medical_Center,300,4,road,high
Sports_Complex,Hostel_A,520,8,road,medium
Gate,Hostel_A,480,7,road,high
Gate,Sports_Complex,450,7,road,low
CSE_Block,Parking,550,9,road,medium
Parking,Gate,200,3,road,high
Parking,Library,350,5,road,high
Parking,Cafeteria,300,5,walkway,medium
Parking,Admin,400,6,road,medium
Parking,Medical_Center,450,7,road,low
Parking,Hostel_A,600,9,road,medium
Parking,Sports_Complex,650,10,road,low
Library,Parking,350,5,road,high
Gate,Parking,200,3,road,high
